canonical_district,grade,year,basis,assessed,enrolled,coverage_pct
Mysuru,5,2022-23,strict,1109,18677.0,5.9
Mysuru,5,2023-24,strict,3333,16881.0,19.7
Mysuru,5,2024-25,strict,10030,15691.0,63.9
Mysuru,6,2022-23,strict,832,15942.0,5.2
Mysuru,6,2023-24,strict,3371,18934.0,17.8
Mysuru,6,2024-25,strict,8945,17245.0,51.9
Raichur,4,2022-23,strict,8563,27068.0,31.6
Raichur,4,2023-24,strict,6483,26995.0,24.0
Raichur,4,2024-25,strict,8174,32093.0,25.5
Raichur,5,2022-23,strict,9496,29118.0,32.6
Raichur,5,2023-24,strict,7045,26485.0,26.6
Raichur,5,2024-25,strict,7966,26324.0,30.3
Raichur,6,2022-23,strict,8702,29278.0,29.7
Raichur,6,2023-24,strict,6704,28427.0,23.6
Raichur,6,2024-25,strict,6991,25973.0,26.9
Ramanagara,4,2022-23,strict,522,6937.0,7.5
Ramanagara,4,2023-24,strict,4426,6440.0,68.7
Ramanagara,4,2024-25,strict,3580,6577.0,54.4
Ramanagara,5,2022-23,strict,514,7088.0,7.3
Ramanagara,5,2023-24,strict,4548,6706.0,67.8
Ramanagara,5,2024-25,strict,3654,6236.0,58.6
Ramanagara,6,2022-23,strict,440,6518.0,6.8
Ramanagara,6,2023-24,strict,4176,7251.0,57.6
Ramanagara,6,2024-25,strict,3086,6558.0,47.1
Tumakuru,4,2022-23,strict,6237,19635.0,31.8
Tumakuru,4,2023-24,strict,10676,19147.0,55.8
Tumakuru,4,2024-25,strict,11976,19020.0,63.0
Tumakuru,5,2022-23,strict,7179,21206.0,33.9
Tumakuru,5,2023-24,strict,11116,19065.0,58.3
Tumakuru,5,2024-25,strict,12187,18653.0,65.3
Tumakuru,6,2022-23,strict,5267,19154.0,27.5
Tumakuru,6,2023-24,strict,9870,20889.0,47.2
Tumakuru,6,2024-25,strict,9603,18666.0,51.4
Udupi,4,2022-23,strict,899,6300.0,14.3
Udupi,5,2022-23,strict,1058,5295.0,20.0
Udupi,6,2022-23,strict,858,6421.0,13.4
Uttara Kannada,4,2022-23,strict,265,13848.0,1.9
Uttara Kannada,5,2022-23,strict,311,14369.0,2.2
Uttara Kannada,6,2022-23,strict,225,13952.0,1.6
Vijayanagara,4,2022-23,strict,6267,16494.0,38.0
Vijayanagara,4,2023-24,strict,6481,17071.0,38.0
Vijayanagara,4,2024-25,strict,8205,17951.0,45.7
Vijayanagara,5,2022-23,strict,6798,18059.0,37.6
Vijayanagara,5,2023-24,strict,6588,16444.0,40.1
Vijayanagara,5,2024-25,strict,8151,16941.0,48.1
Vijayanagara,6,2022-23,strict,5813,18542.0,31.4
Vijayanagara,6,2023-24,strict,6080,18140.0,33.5
Vijayanagara,6,2024-25,strict,7026,16537.0,42.5
Vijayapura,4,2022-23,strict,858,30333.0,2.8
Vijayapura,4,2023-24,strict,7060,27796.0,25.4
Vijayapura,4,2024-25,strict,15966,35519.0,45.0
Vijayapura,5,2022-23,strict,830,31180.0,2.7
Vijayapura,5,2023-24,strict,7532,29551.0,25.5
Vijayapura,5,2024-25,strict,14440,26782.0,53.9
Vijayapura,6,2022-23,strict,880,32270.0,2.7
Vijayapura,6,2023-24,strict,7672,31233.0,24.6
Vijayapura,6,2024-25,strict,14345,29021.0,49.4
Yadgir,4,2022-23,strict,4632,18761.0,24.7
Yadgir,4,2023-24,strict,4330,17208.0,25.2
Yadgir,4,2024-25,strict,6078,22020.0,27.6
Yadgir,5,2022-23,strict,5040,19858.0,25.4
Yadgir,5,2023-24,strict,4896,18258.0,26.8
Yadgir,5,2024-25,strict,5576,16585.0,33.6
Yadgir,6,2022-23,strict,4583,19378.0,23.7
Yadgir,6,2023-24,strict,4493,18839.0,23.8
Yadgir,6,2024-25,strict,5225,17285.0,30.2
