metric,kalyana_karnataka,rest_of_karnataka,format,universe,gap
Pupil-Teacher Ratio,33.63963607594937,20.443459457668123,{:.1f},rural State Govt,13.196176618281246
Enrolment per school,139.18330605564648,72.92233583545126,{:.0f},rural State Govt,66.26097022019522
% schools with a library,91.94395796847635,99.49963208241354,{:.1f}%,rural State Govt,-7.555674113937187
% schools with internet,16.86264698523893,39.23767476085357,{:.1f}%,rural State Govt,-22.375027775614644
% enrolment in private unaided,20.781622939563647,34.54527113843482,{:.1f}%,"rural, ALL managements",-13.763648198871174
