district,block,n_students,pct_mean,pct_sd,pct_floor,pct_p90,gender_gap_pp,n_schools_4_6,n_schools_govt,pct_govt_schools,pct_private_schools,pct_rural_schools,enrolment_all,enrolment_govt,teachers_govt,ptr_govt,pct_female_teachers_govt,pct_teachers_graduate_plus_govt,pct_sch_electricity_govt,pct_sch_library_govt,pct_sch_playground_govt,pct_sch_tapwater_functional_govt,pct_sch_internet_govt,pct_sch_computer_lab_govt,pct_sch_ramps_govt,pct_sch_reading_corner_govt,pct_sch_handwash_meal_govt,pct_sch_kannada_medium_govt,pct_sch_preprimary_govt,girls_func_toilets_per_school_govt,good_classrooms_per_school_govt,acad_inspections_per_school_govt,crc_coordinators_per_school_govt,smc_meetings_per_school_govt,mean_instruction_days_govt,avg_govt_school_size,census_literacy_rate_7plus,census_male_female_literacy_gap_pp,census_sex_ratio,census_sc_pct,census_st_pct,census_work_participation_rate,census_agri_labour_share_of_workers,census_marginal_worker_share,census_total_population_person,census_rural_share_pct
Davanagere,B0071 jagalur,7288,38.57,27.72,5.0,80.0,2.99,221.0,199.0,90.05,9.95,91.4,20329.0,14712.0,666.0,22.09,42.79,56.76,100.0,100.0,57.29,97.99,10.05,8.04,100.0,61.81,91.96,91.96,1.6,1.08,3.1,1.04,9.9,6.05,227.95,73.9,71.13,13.44,974.3,26.07,25.75,54.0,71.61,18.31,154565.0,100.0
Dharwad,B0041 dharwad,21943,68.89,24.5,35.0,95.0,2.21,209.0,181.0,86.6,13.4,93.3,37807.0,30485.0,1108.0,27.51,67.15,72.83,98.34,97.79,69.61,97.24,30.94,12.71,87.29,93.92,90.61,80.66,3.55,1.95,5.61,1.1,5.87,5.23,235.76,168.4,71.28,14.83,947.1,7.54,6.79,47.89,65.44,10.56,232765.0,100.0
Dharwad,B0066 hubli,11073,65.22,25.71,25.0,95.0,1.39,196.0,128.0,65.31,34.69,62.76,39799.0,20920.0,756.0,27.67,69.71,67.33,99.22,98.44,64.06,94.53,18.75,8.59,82.03,94.53,84.38,80.47,9.76,1.73,6.45,0.71,6.65,5.86,241.16,163.4,73.68,14.12,956.8,7.66,5.04,50.52,63.77,14.55,142807.0,100.0
Dharwad,B0076 kalghatagi,13220,56.5,26.32,20.0,90.0,4.5,145.0,128.0,88.28,11.72,87.59,20722.0,17765.0,608.0,29.22,58.55,75.82,97.66,96.09,73.44,100.0,17.19,6.25,91.41,94.53,89.84,92.19,3.23,1.77,4.55,1.03,6.16,5.41,235.06,138.8,67.52,16.03,934.4,12.49,5.71,53.41,70.25,13.98,137742.0,100.0
Dharwad,B0086 kundagol,10273,64.73,25.49,25.0,95.0,3.67,129.0,108.0,83.72,16.28,89.15,18306.0,15037.0,545.0,27.59,47.34,73.39,100.0,95.37,59.26,99.07,16.67,8.33,96.3,88.89,76.85,81.48,4.85,1.46,6.02,0.72,7.37,4.08,211.36,139.2,74.18,15.2,947.9,9.61,7.5,50.45,74.21,12.56,146842.0,100.0
Dharwad,B0106 navalgund,10303,54.17,27.59,15.0,90.0,3.52,149.0,120.0,80.54,19.46,67.11,21712.0,15572.0,578.0,26.94,50.87,59.86,98.33,95.0,80.0,94.17,24.17,6.67,92.5,81.67,63.33,81.67,2.68,1.44,5.58,0.69,5.26,3.73,237.0,129.8,74.03,16.27,953.3,8.43,5.98,55.32,74.05,16.68,137328.0,100.0
Gadag,B0043 gadag rural,12123,47.99,27.32,10.0,85.0,4.33,150.0,121.0,80.67,19.33,90.67,25020.0,17286.0,665.0,25.99,54.44,61.95,100.0,100.0,81.82,90.08,81.82,15.7,99.17,99.17,90.91,84.3,7.63,1.41,5.65,0.83,8.63,4.95,226.42,142.9,73.11,15.29,973.3,17.84,6.92,50.49,63.94,17.76,175883.0,100.0
Gadag,B0102 mundaragi,8454,47.98,27.01,10.0,85.0,2.43,129.0,111.0,86.05,13.95,80.62,20713.0,16560.0,577.0,28.7,43.5,74.0,100.0,100.0,69.37,90.99,40.54,14.41,96.4,93.69,87.39,83.78,4.9,1.52,6.05,1.19,8.22,4.18,235.35,149.2,70.3,16.6,968.6,23.25,8.71,52.08,68.83,17.0,106978.0,100.0
Gadag,B0105 naragund,4842,54.06,27.26,15.0,90.0,0.94,83.0,61.0,73.49,26.51,67.47,13431.0,9017.0,321.0,28.09,41.43,60.75,100.0,100.0,70.49,98.36,90.16,11.48,98.36,96.72,96.72,88.52,8.47,1.21,7.18,0.56,3.85,3.23,229.22,147.8,73.99,17.41,954.0,9.11,5.59,51.2,70.91,17.64,64332.0,100.0
Gadag,B0115 ron,14509,56.01,28.06,15.0,90.0,1.76,223.0,179.0,80.27,19.73,70.85,35127.0,28321.0,934.0,30.32,42.18,66.6,99.44,100.0,83.8,97.77,98.88,12.29,99.44,94.97,96.09,84.92,7.78,1.59,6.23,0.84,6.91,4.49,233.39,158.2,71.67,18.02,987.1,14.97,6.77,49.4,72.07,13.77,191763.0,100.0
Gadag,B0122 shirhatti,11483,56.02,26.77,15.0,90.0,2.85,192.0,153.0,79.69,20.31,71.88,27489.0,19956.0,716.0,27.87,43.16,57.96,99.35,100.0,79.74,95.42,94.77,11.11,98.04,98.69,96.73,87.58,6.9,1.29,5.76,1.46,14.07,5.76,230.36,130.4,70.81,16.43,959.0,25.08,8.59,50.9,74.44,10.42,146305.0,100.0
Hassan,B0003 alur,2879,64.81,25.56,25.0,95.0,4.66,157.0,146.0,92.99,7.01,94.9,7318.0,4210.0,327.0,12.87,54.74,59.63,97.95,100.0,54.11,99.32,8.9,10.27,91.1,99.32,100.0,96.58,4.93,1.79,2.7,1.09,16.82,8.08,234.51,28.8,72.97,9.52,1020.7,27.8,2.43,58.35,65.09,11.15,78714.0,100.0
Hassan,B0004 arakalagudu,7281,53.6,26.17,15.0,85.0,4.62,319.0,294.0,92.16,7.84,92.48,17620.0,9948.0,669.0,14.87,46.04,52.47,100.0,100.0,54.08,98.64,10.88,1.36,99.32,100.0,100.0,93.2,5.92,1.26,2.51,1.47,15.98,10.13,239.13,33.8,67.73,13.71,1001.2,21.27,1.44,52.4,67.61,19.99,187775.0,100.0
Hassan,B0005 arasikere,7841,59.58,26.69,20.0,95.0,2.89,431.0,384.0,89.1,10.9,91.88,27727.0,13703.0,1063.0,12.89,50.8,48.82,98.7,100.0,37.24,96.61,14.58,5.21,86.98,98.96,87.24,93.49,10.88,1.17,2.23,0.46,9.52,4.75,236.85,35.7,77.0,9.34,1004.1,20.89,3.29,55.69,64.43,21.1,264003.0,99.29
Hassan,B0018 belur,4843,59.29,25.14,20.0,90.0,2.97,298.0,273.0,91.61,8.39,92.62,16500.0,8867.0,661.0,13.41,49.92,57.64,98.53,100.0,56.04,98.17,37.73,3.66,90.11,97.44,97.44,93.04,4.12,1.28,2.25,0.74,6.81,5.58,232.59,32.5,74.85,8.65,1020.2,32.87,2.81,54.7,69.56,10.07,161974.0,100.0
Hassan,B0029 channarayapatna,6418,68.29,26.64,25.0,100.0,3.78,402.0,348.0,86.57,13.43,92.29,25623.0,10026.0,805.0,12.45,50.68,42.61,100.0,100.0,54.89,98.28,14.66,7.18,84.77,94.83,92.24,95.69,2.64,1.23,2.03,0.93,9.19,6.26,233.05,28.8,73.68,11.14,1028.2,11.21,0.99,54.32,63.08,24.27,241006.0,96.63
Hassan,B0057 hassan,6449,62.57,25.84,25.0,95.0,1.93,457.0,368.0,80.53,19.47,73.3,48570.0,14197.0,1001.0,14.18,64.54,55.14,97.83,100.0,66.58,96.74,24.18,7.61,89.4,97.83,94.02,93.21,9.17,1.25,2.48,0.78,11.02,5.46,233.17,38.6,76.2,9.97,1005.5,15.71,1.36,50.21,58.89,15.13,262730.0,83.23
Hassan,B0061 holenarasipura,5928,52.51,26.66,15.0,85.0,3.75,287.0,265.0,92.33,7.67,90.94,16660.0,9781.0,665.0,14.71,43.76,43.31,99.62,100.0,53.21,98.87,20.75,1.89,95.47,100.0,100.0,93.21,0.79,1.41,2.62,0.91,19.22,6.68,240.35,36.9,64.27,17.23,985.5,19.04,2.19,54.87,65.56,22.37,152213.0,100.0
Hassan,B0116 sakaleshapura,3578,59.0,25.95,20.0,90.0,4.13,182.0,159.0,87.36,12.64,89.56,11841.0,5943.0,368.0,16.15,65.76,68.48,95.6,100.0,73.58,94.34,6.92,2.52,82.39,97.48,95.6,93.71,5.19,1.37,2.75,0.65,6.7,7.37,231.99,37.4,77.62,6.66,1041.6,33.69,1.64,55.0,42.98,4.75,105281.0,100.0
Haveri,B0023 byadagi,5085,60.09,25.73,25.0,90.0,8.25,136.0,118.0,86.76,13.24,78.68,18745.0,13797.0,554.0,24.9,51.08,70.76,99.15,98.31,82.2,94.07,19.49,12.71,93.22,90.68,92.37,80.51,6.19,1.28,4.85,1.7,8.85,5.28,225.44,116.9,76.53,13.15,947.1,12.35,14.2,48.17,69.43,18.18,111010.0,100.0
Haveri,B0053 hanagal,10350,53.67,26.88,15.0,90.0,5.15,285.0,245.0,85.96,14.04,91.23,35076.0,27885.0,1020.0,27.34,42.65,77.16,98.37,99.18,75.51,97.14,22.86,11.43,90.61,95.1,96.33,74.29,9.91,1.3,3.88,1.29,4.85,4.08,233.4,113.8,77.04,10.81,954.3,15.77,8.87,45.67,67.11,18.54,232296.0,100.0
Haveri,B0058 hirekerur,8486,58.68,27.03,20.0,95.0,2.35,245.0,218.0,88.98,11.02,92.24,25828.0,19013.0,902.0,21.08,40.13,59.87,99.08,98.17,65.14,95.41,16.06,7.8,85.32,94.04,94.04,75.23,4.29,1.26,3.83,1.2,6.51,4.34,227.83,87.2,80.71,11.5,952.3,13.57,10.96,50.5,63.74,23.82,211924.0,100.0
Haveri,B0114 ranebennur,9481,61.78,25.99,25.0,95.0,3.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.27,14.17,940.1,16.87,10.52,49.1,60.1,17.75,228875.0,94.18
Haveri,B0118 savanur,6809,57.93,26.84,20.0,90.0,1.23,148.0,121.0,81.76,18.24,78.38,24086.0,17628.0,565.0,31.2,38.76,74.87,100.0,100.0,66.12,97.52,20.66,12.4,96.69,96.69,95.87,72.73,9.48,1.4,4.63,0.98,6.6,5.4,230.48,145.7,71.63,14.72,938.5,17.8,9.9,47.18,72.77,14.08,120954.0,100.0
Haveri,B0121 shiggoan,5416,64.82,23.33,30.0,95.0,3.39,206.0,177.0,85.92,14.08,77.67,28313.0,21976.0,732.0,30.02,49.86,71.72,99.44,99.44,74.58,93.22,22.03,12.43,92.66,96.61,96.61,72.32,8.98,1.4,4.82,1.42,8.63,6.08,236.04,124.2,74.73,12.76,940.1,15.64,7.7,47.88,68.07,16.97,137174.0,100.0
Haveri,B0149 haveri,8364,55.76,26.98,15.0,90.0,5.13,248.0,188.0,75.81,24.19,72.58,43511.0,27313.0,981.0,27.84,49.24,65.34,98.4,97.34,71.81,97.87,21.28,13.83,89.36,90.96,97.87,76.6,13.56,1.32,5.3,0.68,6.16,3.74,226.16,145.3,72.59,13.96,941.5,13.4,10.15,47.98,67.61,16.25,213260.0,100.0
Kalaburagi,B0001 afzalpur,10194,46.82,30.0,5.0,90.0,-0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.65,21.43,948.8,19.93,1.03,44.33,59.62,25.39,193251.0,100.0
Kalaburagi,B0002 aland,15677,42.87,28.07,5.0,85.0,-0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.15,20.35,944.9,26.61,2.17,48.27,59.52,25.05,299836.0,100.0
Kalaburagi,B0033 chincholi,12003,41.39,27.9,5.0,80.0,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.62,19.15,996.6,36.98,3.85,48.63,61.59,22.02,233390.0,100.0
Kalaburagi,B0036 chittapur,13761,35.16,26.33,5.0,75.0,2.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.76,18.47,999.1,30.43,1.89,44.94,51.49,24.46,282292.0,96.93
Kalaburagi,B0048 gulbarga north,5279,45.63,26.97,10.0,85.0,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.08,19.71,956.8,31.56,2.58,44.46,49.67,26.01,296243.0,96.77
Kalaburagi,B0049 gulbarga south,7377,40.49,27.0,5.0,80.0,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.08,19.71,956.8,31.56,2.58,44.46,49.67,26.01,296243.0,96.77
Kalaburagi,B0073 jewargi,16840,46.48,28.74,10.0,85.0,-0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.45,23.04,966.5,21.93,5.9,46.72,68.49,17.88,271217.0,100.0
Kalaburagi,B0119 sedam,10516,37.86,27.31,5.0,80.0,2.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.35,18.35,1018.8,29.81,2.25,48.71,56.86,24.15,179231.0,96.39
Kodagu,B0092 madikeri,4776,55.02,26.16,20.0,90.0,4.59,157.0,124.0,78.98,21.02,88.54,18604.0,7146.0,418.0,17.1,81.58,62.92,100.0,100.0,87.9,74.19,23.39,16.94,92.74,96.77,96.77,95.97,4.17,2.21,4.33,1.0,3.77,5.32,231.68,57.6,86.78,3.93,1002.1,11.45,6.53,51.78,7.62,10.54,113202.0,100.0
Kodagu,B0129 somavarpet,3787,59.34,25.54,20.0,90.0,3.81,186.0,147.0,79.03,20.97,93.55,25084.0,9036.0,539.0,16.76,67.35,65.68,100.0,100.0,100.0,99.32,17.69,17.01,100.0,100.0,100.0,95.92,5.0,2.33,4.37,1.12,7.59,6.71,227.91,61.5,80.57,5.59,1031.8,17.08,5.43,51.52,22.36,6.96,184450.0,100.0
Kodagu,B0140 virajpet,4984,50.02,27.74,10.0,88.5,2.09,176.0,131.0,74.43,25.57,93.18,22483.0,8430.0,394.0,21.4,76.14,69.8,97.71,100.0,96.18,76.34,32.82,14.5,97.71,97.71,100.0,95.42,3.12,2.37,4.34,1.29,6.45,6.95,234.59,64.4,78.34,4.0,1023.3,11.44,21.25,52.08,6.06,5.18,184185.0,95.49
Kolar,B0014 bangarapete,2073,52.64,26.13,15.0,85.0,3.0,304.0,254.0,83.55,16.45,87.5,25183.0,10918.0,639.0,17.09,59.94,55.71,99.61,99.21,25.98,90.94,12.2,3.94,72.83,92.52,79.13,93.31,1.61,1.4,2.32,1.81,5.76,4.71,234.13,43.0,70.03,13.65,974.2,33.77,3.56,47.53,48.49,19.88,264750.0,88.89
Kolar,B0074 k g f,358,66.03,27.13,20.0,95.0,15.3,258.0,196.0,75.97,24.03,73.64,27166.0,8595.0,470.0,18.29,66.38,55.32,97.96,100.0,23.47,91.33,18.88,4.08,55.1,94.39,70.92,87.24,2.6,1.46,2.72,1.91,6.57,4.57,236.67,43.9,,,,,,,,,,
Kolar,B0079 kolar,8412,54.22,27.31,15.0,90.0,2.91,500.0,390.0,78.0,22.0,77.2,47498.0,16671.0,1142.0,14.6,62.26,50.0,100.0,100.0,41.79,91.28,26.41,6.41,70.77,93.85,83.85,85.64,3.42,1.3,2.91,2.37,7.6,5.51,237.02,42.7,71.48,13.89,972.1,30.15,5.39,49.8,50.69,19.97,246948.0,100.0
Kolar,B0094 malur,6782,51.18,26.63,15.0,85.0,1.79,364.0,320.0,87.91,12.09,92.31,30455.0,12982.0,822.0,15.79,54.01,52.31,99.06,99.69,31.87,96.56,45.62,6.56,62.19,95.31,90.0,91.25,7.01,1.48,2.62,1.69,6.44,5.58,232.94,40.6,67.93,14.59,954.9,27.11,10.65,49.22,43.47,27.86,196870.0,100.0
Kolar,B0100 mulbagal,6811,49.64,28.12,10.0,90.0,1.35,441.0,388.0,87.98,12.02,88.44,27385.0,15513.0,960.0,16.16,52.81,60.62,97.68,99.74,30.67,96.65,24.74,4.9,59.54,93.56,83.25,88.66,3.43,1.26,2.24,2.07,6.98,4.7,235.3,40.0,68.17,14.71,984.6,33.14,3.95,55.9,63.69,19.34,201659.0,100.0
Kolar,B0131 srinivasapur,6941,54.28,28.89,10.0,90.0,1.81,332.0,288.0,86.75,13.25,94.28,22202.0,9554.0,715.0,13.36,46.71,50.49,98.96,98.61,31.94,95.49,10.42,5.9,55.21,90.62,79.17,91.32,3.57,1.59,2.39,1.18,5.38,4.26,235.16,33.2,69.54,14.31,983.9,30.3,11.86,55.33,63.34,16.93,175511.0,100.0
Kolar,B0151 k g f,3002,46.08,26.14,10.0,80.0,2.58,258.0,196.0,75.97,24.03,73.64,27166.0,8595.0,470.0,18.29,66.38,55.32,97.96,100.0,23.47,91.33,18.88,4.08,55.1,94.39,70.92,87.24,2.6,1.46,2.72,1.91,6.57,4.57,236.67,43.9,,,,,,,,,,
Koppal,B0044 gangavathi,16483,45.01,27.43,10.0,85.0,1.62,467.0,348.0,74.52,25.48,70.24,78337.0,49220.0,1157.0,42.54,45.29,75.97,93.97,95.4,62.07,91.95,19.83,8.33,77.59,90.23,91.38,88.79,12.69,1.51,4.22,0.72,4.56,3.88,231.09,141.4,64.85,14.17,1002.8,20.54,16.49,48.08,58.25,22.14,354376.0,97.43
Koppal,B0081 koppal,15439,49.87,27.26,10.0,85.0,1.51,355.0,254.0,71.55,28.45,74.93,68707.0,46064.0,1329.0,34.66,45.9,72.31,97.24,94.88,59.06,94.49,18.9,6.3,87.4,87.8,91.34,87.8,20.17,1.52,5.27,0.58,5.47,3.52,232.97,181.4,68.4,17.11,974.2,20.8,9.43,47.88,55.08,17.87,307083.0,97.18
Koppal,B0085 kuknoor,6125,46.11,27.21,10.0,85.0,1.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koppal,B0088 kustagi,14933,48.19,26.89,10.0,85.0,-1.92,287.0,238.0,82.93,17.07,80.84,49497.0,43075.0,1064.0,40.48,40.51,70.77,93.7,92.86,55.04,93.28,22.69,9.66,82.77,87.39,84.03,91.18,3.08,1.53,5.98,0.53,3.7,2.83,225.88,181.0,65.34,19.56,973.0,15.48,14.41,48.16,53.79,29.78,259914.0,100.0
Koppal,B0143 yelburga,10327,47.13,28.28,10.0,85.0,1.77,271.0,219.0,80.81,19.19,84.87,48467.0,41805.0,1093.0,38.25,37.97,68.71,95.43,94.06,52.97,96.8,71.23,11.87,93.61,88.58,73.97,89.95,4.5,1.74,6.58,1.37,4.45,3.31,229.55,190.9,66.58,19.6,978.7,19.51,11.55,52.13,58.74,25.57,252628.0,100.0
Mandya,B0083 krishnaraja pet,5,79.0,11.4,68.0,88.0,-1.67,348.0,314.0,90.23,9.77,94.25,20112.0,12086.0,769.0,15.72,37.45,50.46,98.73,100.0,66.24,100.0,11.78,5.73,99.36,94.9,92.36,95.22,3.59,1.31,2.39,0.41,7.14,5.43,234.6,38.5,68.72,14.1,1000.1,12.66,2.4,51.19,67.85,21.22,234533.0,100.0
Mandya,B0090 maddur,5901,54.52,26.98,15.0,90.0,4.67,278.0,218.0,78.42,21.58,92.09,28019.0,11217.0,593.0,18.92,52.95,64.42,100.0,100.0,88.53,99.08,95.87,6.42,98.62,68.81,86.7,95.41,7.58,1.4,3.89,0.99,4.42,3.96,212.79,51.5,67.06,12.08,997.0,13.9,0.63,47.59,66.03,13.44,266678.0,97.6
Mandya,B0093 malavally,7720,54.21,26.83,15.0,90.0,4.8,286.0,235.0,82.17,17.83,89.51,21090.0,12006.0,597.0,20.11,49.58,59.46,97.87,100.0,48.09,96.6,9.36,10.21,96.17,84.68,88.94,95.74,7.17,1.36,3.02,0.76,3.7,4.72,229.71,51.1,64.59,12.49,982.6,20.69,0.56,48.01,60.58,21.77,245664.0,100.0
Mandya,B0103 nagamangala,6082,62.57,25.54,25.0,95.0,2.74,277.0,253.0,91.34,8.66,87.36,16087.0,8337.0,570.0,14.63,49.3,62.11,99.6,100.0,69.96,95.65,28.06,5.53,99.21,90.12,94.47,94.47,3.64,1.55,2.36,0.87,8.91,7.13,235.18,33.0,69.05,14.68,1006.2,12.98,1.19,57.93,63.56,23.8,170121.0,100.0
Mandya,B0109 pandavapura,4874,63.23,25.61,25.0,95.0,3.27,193.0,167.0,86.53,13.47,91.71,17541.0,9203.0,517.0,17.8,50.87,64.02,99.4,100.0,73.65,99.4,60.48,9.58,100.0,94.61,95.21,92.81,8.75,1.75,3.04,0.54,8.56,6.91,233.78,55.1,65.78,13.59,990.5,12.52,1.6,51.2,71.46,12.42,162953.0,100.0
Mandya,B0132 srirangapatna,4035,57.24,28.16,15.0,90.0,4.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.42,9.38,997.4,15.81,1.86,48.52,54.3,18.79,155130.0,94.15
Mandya,B0148 h.d.kote,108,52.73,27.64,15.0,90.0,1.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandya,B0155 krishnaraja pet,6661,50.47,26.83,15.0,85.0,4.83,348.0,314.0,90.23,9.77,94.25,20112.0,12086.0,769.0,15.72,37.45,50.46,98.73,100.0,66.24,100.0,11.78,5.73,99.36,94.9,92.36,95.22,3.59,1.31,2.39,0.41,7.14,5.43,234.6,38.5,68.72,14.1,1000.1,12.66,2.4,51.19,67.85,21.22,234533.0,100.0
Mandya,B0158 mandya north,4277,56.91,25.82,20.0,90.0,3.39,175.0,167.0,95.43,4.57,100.0,9238.0,7121.0,422.0,16.87,61.14,59.0,100.0,100.0,88.02,97.6,71.26,5.39,99.4,89.22,91.62,97.01,7.32,1.47,3.38,1.05,1.31,3.16,233.57,42.6,,,,,,,,,,
Mandya,B0159 mandya south,2712,55.77,28.07,15.0,95.0,4.08,186.0,125.0,67.2,32.8,56.45,30362.0,8823.0,395.0,22.34,70.63,49.62,100.0,99.2,64.8,96.8,75.2,16.8,100.0,92.8,81.6,84.0,8.13,1.7,4.96,1.18,4.48,1.3,230.63,70.6,,,,,,,,,,
Mysuru,B0104 nanjanagud,8896,52.77,28.42,10.0,90.0,5.9,321.0,277.0,86.29,13.71,88.79,42475.0,24823.0,1234.0,20.12,58.83,66.61,100.0,100.0,93.14,97.47,99.64,18.41,94.58,96.03,95.67,92.06,5.24,1.93,4.0,2.49,11.48,5.66,236.42,89.6,59.07,11.46,989.7,23.19,14.87,45.55,59.08,18.5,334324.0,100.0
Mysuru,B0133 t.n.pura,6954,59.33,27.13,20.0,95.0,4.93,276.0,235.0,85.14,14.86,85.14,28257.0,14775.0,817.0,18.08,56.67,60.47,100.0,100.0,89.36,98.72,48.94,8.09,94.47,97.45,97.87,92.77,4.42,1.37,3.3,0.76,10.17,7.86,231.98,62.9,,,,,,,,,,
Mysuru,B0148 h.d.kote,5867,52.21,27.8,15.0,90.0,4.5,350.0,324.0,92.57,7.43,90.57,26539.0,19274.0,1119.0,17.22,52.73,67.65,100.0,100.0,99.07,98.46,100.0,9.88,100.0,97.53,100.0,95.99,4.42,1.63,3.14,1.25,7.41,6.35,234.55,59.5,,,,,,,,,,
Mysuru,B0150 hunsur,5616,51.95,26.82,15.0,90.0,3.49,351.0,300.0,85.47,14.53,88.32,35776.0,17801.0,1015.0,17.54,52.71,61.38,100.0,100.0,90.67,94.67,100.0,11.33,99.0,99.0,98.67,92.33,4.11,1.57,2.99,3.65,11.96,8.32,232.89,59.3,63.96,14.13,975.0,19.19,18.29,52.79,69.29,17.89,232098.0,100.0
Mysuru,B0156 krishnarajanagara,3785,53.92,28.04,15.0,90.0,1.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.0,14.05,996.1,15.05,6.99,52.12,63.37,23.96,216852.0,100.0
Mysuru,B0162 mysore rural,5223,55.3,26.85,15.0,90.0,4.75,372.0,232.0,62.37,37.63,99.73,76123.0,19440.0,1009.0,19.27,70.17,58.77,100.0,100.0,84.05,97.41,82.76,21.12,96.98,99.57,98.71,93.1,5.75,1.94,4.04,1.55,9.59,7.35,235.24,83.8,70.44,10.73,956.8,16.5,13.15,41.22,28.9,18.92,388706.0,68.83
Mysuru,B0164 periya patna,5255,64.47,25.47,30.0,95.0,4.16,314.0,280.0,89.17,10.83,94.27,24781.0,13977.0,744.0,18.79,44.22,63.84,100.0,100.0,96.43,97.5,93.57,10.0,96.07,99.29,97.5,91.43,5.13,1.36,2.94,2.19,11.94,8.26,235.76,49.9,70.04,15.26,943.8,17.82,8.31,49.59,71.34,15.14,226391.0,100.0
Raichur,B0039 devadurga,14171,42.82,26.89,5.0,80.0,-0.07,398.0,333.0,83.67,16.33,85.68,52341.0,43099.0,1164.0,37.03,45.88,80.58,93.09,94.59,34.53,83.48,13.51,6.91,68.77,84.38,64.86,93.69,14.06,1.54,3.54,0.77,6.55,3.05,226.81,129.4,47.17,23.09,1004.8,21.98,34.99,51.07,71.16,18.55,251677.0,100.0
Raichur,B0089 lingasugur,15003,45.25,26.95,10.0,80.0,-2.66,438.0,341.0,77.85,22.15,72.37,68045.0,50644.0,1200.0,42.2,40.58,68.5,95.6,91.79,36.66,93.55,13.78,6.45,78.59,81.52,65.98,92.08,6.69,1.62,4.91,0.6,3.79,2.82,233.55,148.5,57.66,22.55,984.4,24.24,19.79,46.79,56.64,25.56,314021.0,94.82
Raichur,B0096 manvi,12586,49.01,28.14,10.0,85.0,-0.3,403.0,289.0,71.71,28.29,80.65,60282.0,40636.0,919.0,44.22,45.38,76.82,97.58,96.54,39.1,92.39,19.72,8.3,73.01,89.97,62.63,91.35,17.39,1.68,4.79,1.09,3.81,3.16,229.62,140.6,52.81,19.88,1014.9,21.97,25.81,51.17,68.5,20.57,324205.0,100.0
Raichur,B0111 raichur,13764,49.59,28.8,10.0,90.0,3.25,452.0,294.0,65.04,34.96,54.42,97939.0,55237.0,1237.0,44.65,62.09,66.05,96.94,98.98,57.14,94.22,20.41,8.84,62.24,74.49,69.05,82.65,18.84,1.73,5.73,0.42,4.52,1.75,230.53,187.9,53.74,22.06,1005.8,22.15,20.2,50.81,59.53,22.01,264564.0,93.54
Raichur,B0126 sindhanur,14600,46.61,27.41,10.0,85.0,0.11,453.0,320.0,70.64,29.36,71.96,62365.0,41416.0,1089.0,38.03,36.73,78.6,98.75,84.38,51.56,95.94,35.62,11.88,79.06,88.12,80.31,87.19,18.09,1.75,4.76,0.66,6.4,4.51,230.14,129.4,59.71,18.61,1005.6,18.82,15.52,51.13,70.41,17.3,317363.0,100.0
Ramanagara,B0077 kanakapura,8568,57.12,27.2,15.0,90.0,4.45,448.0,390.0,87.05,12.95,92.63,31806.0,16084.0,779.0,20.65,60.46,70.6,99.23,100.0,42.56,96.41,13.08,7.69,90.26,87.69,92.31,94.1,3.97,1.61,2.41,0.91,9.99,6.71,234.63,41.2,61.85,14.88,965.2,20.64,2.26,52.09,67.3,13.18,296863.0,100.0
Ramanagara,B0112 ramanagara,4460,76.26,23.03,45.0,100.0,2.6,331.0,257.0,77.64,22.36,66.47,37055.0,13606.0,651.0,20.9,62.83,48.54,100.0,100.0,32.3,98.83,29.18,11.67,91.44,93.0,92.22,89.49,8.43,1.48,3.02,0.68,10.16,5.16,222.53,52.9,69.63,15.35,943.4,19.21,4.06,50.79,57.01,7.09,171447.0,94.22
Ramanagara,B0146 channapatna,6050,52.24,27.81,15.0,90.0,6.06,275.0,226.0,82.18,17.82,75.27,24933.0,12450.0,626.0,19.89,60.38,64.54,99.12,100.0,47.79,97.79,64.6,13.72,88.94,97.79,90.27,86.73,6.94,1.5,2.99,1.08,7.12,6.07,238.8,55.1,64.97,13.67,1007.9,18.69,0.38,50.81,59.64,14.6,189362.0,100.0
Ramanagara,B0157 magadi,5868,56.47,26.89,15.0,90.0,3.41,358.0,331.0,92.46,7.54,93.85,18866.0,10176.0,717.0,14.19,46.3,41.98,99.7,100.0,35.65,98.19,23.26,4.83,94.26,95.17,94.26,90.03,4.33,1.34,2.24,0.44,14.11,5.1,227.0,30.7,69.08,14.1,985.0,21.12,3.11,53.96,57.2,21.93,176236.0,94.83
