district,block,year,year_n,n_students,pct_mean,pct_sd,pct_floor,pct_p90,gender_gap_pp
Mandya,B0148 h.d.kote,2024-25,2024,108,52.73,27.64,15.0,90.0,1.76
Mandya,B0155 krishnaraja pet,2023-24,2023,3483,47.98,26.21,10.0,85.0,4.02
Mandya,B0155 krishnaraja pet,2024-25,2024,3178,53.19,27.24,15.0,90.0,5.83
Mandya,B0158 mandya north,2023-24,2023,2223,55.43,25.07,20.0,85.0,2.63
Mandya,B0158 mandya north,2024-25,2024,2054,58.5,26.52,20.0,90.0,4.38
Mandya,B0159 mandya south,2023-24,2023,1550,50.42,26.47,15.0,85.0,5.45
Mandya,B0159 mandya south,2024-25,2024,1162,62.91,28.57,20.0,95.0,2.58
Mysuru,B0104 nanjanagud,2022-23,2022,1188,50.64,28.93,10.0,90.0,7.11
Mysuru,B0104 nanjanagud,2023-24,2023,1548,54.29,25.49,15.0,85.0,5.08
Mysuru,B0104 nanjanagud,2024-25,2024,6160,52.79,28.99,10.0,90.0,5.8
Mysuru,B0133 t.n.pura,2022-23,2022,1692,56.23,27.23,15.0,90.0,5.1
Mysuru,B0133 t.n.pura,2023-24,2023,1428,62.42,25.44,25.0,95.0,5.84
Mysuru,B0133 t.n.pura,2024-25,2024,3834,59.55,27.55,15.0,95.0,4.3
Mysuru,B0148 h.d.kote,2023-24,2023,1411,50.79,26.85,15.0,85.0,0.27
Mysuru,B0148 h.d.kote,2024-25,2024,4456,52.66,28.08,15.0,90.0,5.85
Mysuru,B0150 hunsur,2023-24,2023,1467,49.4,26.41,13.0,85.0,1.92
Mysuru,B0150 hunsur,2024-25,2024,4149,52.86,26.9,15.0,90.0,4.12
Mysuru,B0156 krishnarajanagara,2023-24,2023,1060,45.77,25.72,10.0,85.0,2.36
Mysuru,B0156 krishnarajanagara,2024-25,2024,2725,57.08,28.27,15.0,95.0,1.46
Mysuru,B0162 mysore rural,2023-24,2023,1563,59.35,23.93,25.0,90.0,3.21
Mysuru,B0162 mysore rural,2024-25,2024,3660,53.58,27.83,15.0,90.0,5.1
Mysuru,B0164 periya patna,2023-24,2023,1496,61.27,24.0,30.0,90.0,3.06
Mysuru,B0164 periya patna,2024-25,2024,3759,65.74,25.92,30.0,95.0,4.65
Raichur,B0039 devadurga,2022-23,2022,5794,47.5,27.87,10.0,85.0,1.04
Raichur,B0039 devadurga,2023-24,2023,3945,40.44,25.54,7.0,75.0,0.32
Raichur,B0039 devadurga,2024-25,2024,4432,38.81,25.81,5.0,75.0,-0.6
Raichur,B0089 lingasugur,2022-23,2022,5551,47.25,27.85,10.0,85.0,-2.31
Raichur,B0089 lingasugur,2023-24,2023,4380,44.32,25.22,10.0,80.0,-2.36
Raichur,B0089 lingasugur,2024-25,2024,5072,43.86,27.27,10.0,80.0,-2.95
Raichur,B0096 manvi,2022-23,2022,4775,52.48,27.95,10.0,85.0,-0.87
Raichur,B0096 manvi,2023-24,2023,3566,45.34,26.99,10.0,80.0,1.17
Raichur,B0096 manvi,2024-25,2024,4245,48.2,28.85,10.0,90.0,-0.61
Raichur,B0111 raichur,2022-23,2022,5420,50.08,28.45,10.0,85.0,3.33
Raichur,B0111 raichur,2023-24,2023,3900,50.67,27.72,10.0,90.0,3.97
Raichur,B0111 raichur,2024-25,2024,4444,48.05,30.08,5.0,90.0,2.7
Raichur,B0126 sindhanur,2022-23,2022,5221,50.31,27.96,10.0,85.0,0.43
Raichur,B0126 sindhanur,2023-24,2023,4441,44.65,26.46,10.0,80.0,0.01
Raichur,B0126 sindhanur,2024-25,2024,4938,44.46,27.27,10.0,85.0,0.25
Ramanagara,B0077 kanakapura,2022-23,2022,951,63.79,25.81,25.0,95.0,5.9
Ramanagara,B0077 kanakapura,2023-24,2023,4242,56.41,26.84,15.0,90.0,3.22
Ramanagara,B0077 kanakapura,2024-25,2024,3375,56.13,27.79,15.0,90.0,5.64
Ramanagara,B0112 ramanagara,2022-23,2022,525,75.18,20.27,50.0,100.0,1.04
Ramanagara,B0112 ramanagara,2023-24,2023,2169,76.54,22.18,45.0,100.0,3.45
Ramanagara,B0112 ramanagara,2024-25,2024,1766,76.24,24.76,40.0,100.0,2.0
Ramanagara,B0146 channapatna,2023-24,2023,3658,52.27,27.56,15.0,90.0,6.6
Ramanagara,B0146 channapatna,2024-25,2024,2392,52.19,28.19,10.0,90.0,5.25
Ramanagara,B0157 magadi,2023-24,2023,3081,57.19,26.0,20.0,90.0,4.05
Ramanagara,B0157 magadi,2024-25,2024,2787,55.67,27.81,15.0,90.0,2.66
Tumakuru,B0031 chiknayakanhalli,2022-23,2022,2447,67.89,24.75,30.0,95.0,2.92
Tumakuru,B0031 chiknayakanhalli,2023-24,2023,3213,61.97,24.48,25.0,90.0,2.71
Tumakuru,B0031 chiknayakanhalli,2024-25,2024,3124,60.45,25.7,25.0,90.0,4.03
Tumakuru,B0046 gubbi,2022-23,2022,4054,77.68,21.08,45.0,100.0,2.84
Tumakuru,B0046 gubbi,2023-24,2023,3869,66.66,27.47,20.0,95.0,0.77
Tumakuru,B0046 gubbi,2024-25,2024,3798,72.81,26.13,30.0,100.0,1.7
Tumakuru,B0082 koratagere,2022-23,2022,821,67.54,24.1,35.0,95.0,4.81
Tumakuru,B0082 koratagere,2023-24,2023,2605,56.96,27.07,15.0,90.0,4.38
Tumakuru,B0082 koratagere,2024-25,2024,2349,58.59,25.6,20.0,90.0,4.42
Tumakuru,B0087 kunigal,2022-23,2022,2005,68.36,24.73,30.0,95.0,1.65
Tumakuru,B0087 kunigal,2023-24,2023,2537,55.57,25.79,20.0,90.0,4.43
Tumakuru,B0087 kunigal,2024-25,2024,2534,62.12,25.9,25.0,95.0,6.23
Tumakuru,B0091 madhugiri,2022-23,2022,436,58.42,29.5,12.5,95.0,7.18
Tumakuru,B0091 madhugiri,2023-24,2023,4666,50.1,26.96,15.0,85.0,2.53
Tumakuru,B0091 madhugiri,2024-25,2024,4010,52.81,27.42,15.0,90.0,3.31
Tumakuru,B0127 sira,2022-23,2022,2850,61.09,25.92,20.0,90.0,2.93
Tumakuru,B0127 sira,2023-24,2023,5181,51.92,26.89,15.0,90.0,3.0
Tumakuru,B0127 sira,2024-25,2024,5252,53.18,27.02,15.0,90.0,2.98
Tumakuru,B0135 tiptur,2022-23,2022,1879,74.45,21.66,45.0,95.0,4.36
Tumakuru,B0135 tiptur,2023-24,2023,2535,61.46,25.04,25.0,90.0,2.79
Tumakuru,B0135 tiptur,2024-25,2024,2402,64.36,24.49,30.0,95.0,3.12
Tumakuru,B0136 tumkur,2022-23,2022,2058,72.62,23.21,35.0,95.0,4.21
Tumakuru,B0136 tumkur,2023-24,2023,4812,61.69,24.44,25.0,90.0,2.48
Tumakuru,B0136 tumkur,2024-25,2024,4391,62.42,25.61,25.0,95.0,2.99
Tumakuru,B0137 turuvekere,2022-23,2022,2133,79.06,20.51,50.0,100.0,1.98
Tumakuru,B0137 turuvekere,2023-24,2023,2244,71.07,24.5,35.0,100.0,2.89
Tumakuru,B0137 turuvekere,2024-25,2024,2049,66.59,25.37,30.0,95.0,5.59
Tumakuru,B0168 pavagada,2024-25,2024,3857,72.34,22.92,40.0,100.0,2.18
Udupi,B0022 brahmavara,2022-23,2022,1850,73.54,23.26,40.0,100.0,4.59
Udupi,B0024 byndoor,2022-23,2022,560,85.1,15.72,64.5,100.0,-2.04
Udupi,B0138 udupi,2022-23,2022,405,62.65,25.6,22.0,95.0,2.88
Uttara Kannada,B0101 mundagod,2022-23,2022,466,60.28,26.75,20.0,90.0,7.55
Uttara Kannada,B0144 yellapur,2022-23,2022,335,83.43,18.87,55.0,100.0,4.87
Vijayanagara,B0051 hadagali,2022-23,2022,2290,61.9,25.98,20.0,95.0,0.61
Vijayanagara,B0051 hadagali,2023-24,2023,2951,44.14,26.66,10.0,80.0,-1.23
Vijayanagara,B0051 hadagali,2024-25,2024,3486,39.93,26.82,5.0,80.0,-0.85
Vijayanagara,B0052 hagaribommanahalli,2022-23,2022,3694,47.9,28.39,5.0,85.0,3.08
Vijayanagara,B0052 hagaribommanahalli,2023-24,2023,3475,41.32,25.93,7.0,78.0,1.13
Vijayanagara,B0052 hagaribommanahalli,2024-25,2024,3931,40.81,27.24,5.0,80.0,2.37
Vijayanagara,B0055 harapanahalli,2022-23,2022,5234,50.41,27.88,10.0,85.0,1.71
Vijayanagara,B0055 harapanahalli,2023-24,2023,5225,39.25,25.66,5.0,75.0,0.0
Vijayanagara,B0055 harapanahalli,2024-25,2024,6614,35.74,26.97,0.0,75.0,1.27
Vijayanagara,B0065 hosapete,2022-23,2022,2878,55.5,26.21,15.0,85.0,1.8
Vijayanagara,B0065 hosapete,2023-24,2023,2771,43.17,25.69,10.0,80.0,2.28
Vijayanagara,B0065 hosapete,2024-25,2024,4154,35.53,25.91,5.0,70.0,0.7
Vijayanagara,B0084 kudligi,2022-23,2022,4782,50.74,29.37,10.0,90.0,1.71
Vijayanagara,B0084 kudligi,2023-24,2023,4727,38.99,26.97,5.0,80.0,0.78
Vijayanagara,B0084 kudligi,2024-25,2024,5197,39.42,28.99,0.0,80.0,5.17
Vijayapura,B0016 basavan bagewadi,2022-23,2022,422,76.33,18.0,50.0,100.0,0.8
Vijayapura,B0016 basavan bagewadi,2023-24,2023,3319,56.3,29.17,10.0,90.0,-0.74
Vijayapura,B0016 basavan bagewadi,2024-25,2024,7499,65.51,27.26,20.0,95.0,2.08
Vijayapura,B0025 chadachan,2022-23,2022,399,73.02,29.04,23.0,100.0,17.84
Vijayapura,B0025 chadachan,2023-24,2023,1659,57.06,27.62,15.0,90.0,-0.79
Vijayapura,B0025 chadachan,2024-25,2024,4243,70.26,24.88,30.0,95.0,1.48
Vijayapura,B0070 indi,2022-23,2022,428,74.75,22.41,40.0,95.0,3.11
Vijayapura,B0070 indi,2023-24,2023,4233,49.02,28.76,10.0,85.0,2.64
Vijayapura,B0070 indi,2024-25,2024,6739,54.48,29.42,10.0,90.0,1.74
Vijayapura,B0125 sindagi,2022-23,2022,418,65.63,25.52,25.0,95.0,5.5
Vijayapura,B0125 sindagi,2023-24,2023,3503,47.56,27.84,5.0,85.0,0.12
Vijayapura,B0125 sindagi,2024-25,2024,8922,50.08,29.0,10.0,90.0,0.75
Vijayapura,B0134 talikoti,2022-23,2022,298,76.02,18.32,50.0,95.0,2.2
Vijayapura,B0139 vijayapura rural,2022-23,2022,453,80.23,18.33,55.0,100.0,1.71
Vijayapura,B0139 vijayapura rural,2023-24,2023,5599,51.33,28.11,10.0,90.0,2.23
Vijayapura,B0139 vijayapura rural,2024-25,2024,10572,66.39,25.98,25.0,95.0,0.91
Vijayapura,B0161 muddebihal,2022-23,2022,150,79.73,14.78,60.0,100.0,1.02
Vijayapura,B0161 muddebihal,2023-24,2023,3951,48.17,28.12,10.0,85.0,0.91
Vijayapura,B0161 muddebihal,2024-25,2024,6776,51.98,30.22,10.0,90.0,0.26
Yadgir,B0120 shahapur,2022-23,2022,4472,52.44,27.97,10.0,90.0,-1.04
Yadgir,B0120 shahapur,2023-24,2023,4388,45.05,27.15,10.0,85.0,-0.25
Yadgir,B0120 shahapur,2024-25,2024,5234,43.4,27.79,5.0,85.0,0.05
Yadgir,B0123 shorapur,2022-23,2022,5883,59.33,27.51,15.0,90.0,-0.48
Yadgir,B0123 shorapur,2023-24,2023,5733,50.37,28.73,10.0,90.0,-1.01
Yadgir,B0123 shorapur,2024-25,2024,7942,44.91,28.67,5.0,85.0,-1.18
Yadgir,B0141 yadgir,2022-23,2022,3900,49.74,28.74,10.0,85.0,-1.33
Yadgir,B0141 yadgir,2023-24,2023,3598,43.41,27.52,10.0,85.0,0.2
Yadgir,B0141 yadgir,2024-25,2024,3703,43.06,27.26,5.0,80.0,0.44
