district,n_students,pct_mean,pct_sd,pct_floor,pct_p90,gender_gap_pp,canonical_district,revenue_division,census2011_name,nfhs5_name,aser2024_name,hh_electricity_pct,hh_improved_sanitation_pct,age5_preprimary_attend_pct,women_literate_pct,women_10plus_schooling_pct,women_married_before18_pct,u5_stunted_pct,u5_wasted_pct,u5_underweight_pct,children_anaemic_pct,women_anaemic_pct,pct_6_14_govt_school,pct_6_14_not_in_school,std3_5_read_std2_pct,std3_5_atleast_subtraction_pct,std6_8_read_std2_pct,std6_8_division_pct,pgid_overall_600,pgid_outcomes_290,pgid_infra_51,pgid_digital_50,pgid_governance_84,pgid_n_edu_districts,prs24_avg_pct_g3,prs24_avg_pct_g6,prs24_avg_pct_g9,prs24_gender_gap_girls_minus_boys_g3,prs24_gender_gap_girls_minus_boys_g6,prs24_gender_gap_girls_minus_boys_g9,prs24_rank_in_state_g3,prs24_rank_in_state_g6,prs24_rank_in_state_g9,prs24_rural_g3,prs24_rural_g6,prs24_rural_g9,prs24_sc_g3,prs24_sc_g6,prs24_sc_g9,prs24_st_g3,prs24_st_g6,prs24_st_g9,prs24_state_govt_g3,prs24_state_govt_g6,prs24_state_govt_g9,prs24_urban_g3,prs24_urban_g6,prs24_urban_g9,ptr_govt,pct_female_teachers_govt,pct_teachers_graduate_plus_govt,pct_sch_library_govt,pct_sch_playground_govt,pct_sch_computer_lab_govt,pct_sch_internet_govt,pct_sch_tapwater_functional_govt,pct_sch_preprimary_govt,girls_func_toilets_per_school_govt,good_classrooms_per_school_govt,acad_inspections_per_school_govt,mean_instruction_days_govt,avg_govt_school_size,pct_private_schools,enrolment_govt,n_schools_govt,total_population_person,literacy_rate_7plus,male_female_literacy_gap_pp,sex_ratio,sc_pct,st_pct,work_participation_rate,agri_labour_share_of_workers,marginal_worker_share
Davanagere,38336,49.29,28.66,10.0,90.0,4.63,Davanagere,Bengaluru,Davanagere,Davanagere,Davanagere,98.8,83.3,18.1,76.0,47.1,19.1,38.4,18.8,32.8,70.2,51.7,70.5,0.1,23.7,43.7,52.4,27.0,301.0,139.0,26.0,16.0,46.0,1,63,47,32,3,-1,0,5.0,7.0,12.0,69,50,34,68,43,32,69,44,30,67,49,31,53,41,30,20.73,47.17,54.97,100.0,79.45,11.48,17.5,95.83,10.83,1.33,4.17,1.87,231.67,82.5,25.61,102827.0,1246.0,1945497.0,75.74,12.44,972.0,23.91,14.46,48.55,64.73,19.87
Dharwad,66812,62.92,26.35,25.0,95.0,2.87,Dharwad,Belagavi,Dharwad,Dharwad,Dharwad,99.4,79.3,7.7,81.8,51.4,17.8,45.2,16.5,40.4,67.2,52.1,73.8,0.0,21.6,28.2,58.6,38.5,292.0,134.0,26.0,18.0,44.0,1,50,41,32,6,10,-1,30.0,25.0,12.0,47,38,30,54,39,32,48,35,30,46,37,28,51,42,33,29.04,62.81,69.76,96.57,67.44,11.63,23.15,96.12,7.67,1.95,6.22,0.99,233.41,171.4,29.01,154796.0,903.0,1847023.0,80.0,15.22,971.0,8.95,6.28,51.06,69.21,13.39
Gadag,51411,52.62,27.62,15.0,90.0,2.63,Gadag,Belagavi,Gadag,Gadag,Gadag,98.6,55.2,16.3,70.7,45.1,27.7,45.2,18.2,39.8,70.3,50.5,83.9,0.0,27.9,35.9,54.3,31.1,301.0,137.0,26.0,21.0,43.0,1,58,46,31,3,0,3,16.0,11.0,20.0,60,44,31,58,47,29,63,43,29,61,42,31,56,48,32,28.22,47.04,64.45,100.0,77.52,13.66,84.5,94.17,7.11,1.5,6.15,1.05,230.23,145.0,22.23,101925.0,703.0,1064570.0,75.12,16.69,982.0,18.61,7.39,50.59,69.86,14.96
Hassan,45217,59.61,26.68,20.0,95.0,3.57,Hassan,Mysuru,Hassan,Hassan,Hassan,99.3,87.9,8.9,82.0,51.3,16.2,27.1,15.2,23.8,63.6,42.2,61.9,0.2,39.4,59.6,71.0,46.4,331.0,162.0,28.0,13.0,50.0,1,73,51,36,2,2,2,2.0,2.0,2.0,77,53,36,76,43,32,83,45,35,79,50,38,67,49,37,13.79,52.96,51.83,100.0,54.89,4.96,18.33,97.63,5.87,1.3,2.39,0.86,235.77,34.3,11.69,76675.0,2237.0,1776421.0,76.07,10.72,1010.0,20.84,1.99,53.94,62.83,17.58
Haveri,53991,58.46,26.54,20.0,90.0,4.06,Haveri,Belagavi,Haveri,Haveri,Haveri,99.1,68.9,13.8,71.5,40.0,16.5,29.9,17.7,35.0,66.9,50.8,74.5,0.1,31.1,38.8,50.2,32.9,291.0,132.0,26.0,16.0,44.0,1,56,43,32,3,2,4,19.0,17.0,12.0,62,48,32,57,37,30,55,41,30,64,37,31,49,40,31,26.28,46.43,68.25,98.14,71.17,11.34,20.67,95.88,9.04,1.35,4.5,1.21,229.59,119.4,17.82,153686.0,1287.0,1597668.0,77.4,12.83,950.0,15.08,10.18,48.11,66.14,18.32
Kalaburagi,91647,42.01,28.2,5.0,85.0,0.58,Kalaburagi,Kalaburagi,Gulbarga,Gulbarga,Kalaburagi,99.4,36.5,19.5,68.2,42.0,29.8,34.5,25.0,36.2,75.1,56.0,77.9,0.7,20.0,24.2,49.6,27.7,261.0,128.0,19.0,13.0,44.0,1,61,42,30,2,2,0,9.0,22.0,24.0,61,39,30,61,40,31,63,39,29,65,34,25,61,45,30,30.41,50.67,58.27,95.3,54.62,7.75,16.08,76.8,11.54,1.4,5.09,0.83,227.8,122.3,31.42,252571.0,2065.0,2566326.0,64.85,20.12,971.0,28.31,2.88,46.51,58.09,23.52
Kodagu,13547,54.39,26.84,15.0,90.0,3.42,Kodagu,Mysuru,Kodagu,Kodagu,Kodagu,98.7,93.9,13.0,88.5,58.9,12.8,30.4,21.7,22.6,54.4,39.9,52.0,0.9,45.3,43.7,74.1,39.6,323.0,144.0,30.0,20.0,49.0,1,57,45,31,6,1,-1,17.0,12.0,20.0,59,47,32,57,39,30,57,39,30,65,38,28,51,41,29,18.22,74.32,66.03,100.0,95.02,16.17,24.38,84.08,4.12,2.3,4.35,1.14,231.1,61.2,22.54,24612.0,402.0,554519.0,82.61,4.59,1019.0,13.6,11.73,51.79,12.63,7.12
Kolar,34379,52.04,27.65,15.0,90.0,2.19,Kolar,Bengaluru,Kolar,Kolar,Kolar,99.5,89.2,17.0,78.3,55.0,26.7,31.1,15.5,15.7,57.9,43.6,70.7,0.0,20.1,45.8,43.5,34.6,288.0,132.0,26.0,14.0,48.0,1,55,42,28,3,5,3,24.0,22.0,31.0,55,44,29,55,42,27,54,39,27,60,48,27,55,39,28,15.63,56.68,53.92,99.56,32.03,5.45,24.13,93.95,3.73,1.4,2.53,1.88,235.19,40.4,16.51,74233.0,1836.0,1536401.0,74.39,14.17,979.0,31.06,6.68,51.17,53.78,20.66
Koppal,63307,47.4,27.44,10.0,85.0,0.78,Koppal,Kalaburagi,Koppal,Koppal,Koppal,99.2,58.8,29.6,59.8,34.4,27.1,49.1,23.1,45.8,70.7,54.8,83.7,0.1,32.3,48.3,53.3,33.4,273.0,129.0,21.0,16.0,41.0,1,51,44,32,5,3,1,29.0,14.0,12.0,53,43,32,44,36,27,55,42,28,50,38,27,48,46,31,38.8,42.64,72.02,94.43,57.88,8.88,30.88,93.86,10.64,1.56,5.36,0.78,230.34,170.1,23.26,180164.0,1059.0,1389920.0,68.09,17.31,986.0,19.27,13.12,48.92,56.58,23.5
Mandya,42375,56.56,26.98,15.0,90.0,3.85,Mandya,Mysuru,Mandya,Mandya,Mandya,98.4,86.7,15.5,78.3,52.5,13.1,24.3,11.8,16.7,58.2,47.0,61.4,0.0,31.3,43.1,52.2,27.4,307.0,129.0,31.0,17.0,47.0,1,52,43,31,2,4,-1,27.0,17.0,20.0,54,45,34,53,44,32,47,33,31,53,39,31,44,37,27,17.53,52.68,57.84,99.94,70.72,7.82,42.43,98.14,6.21,1.5,3.14,0.81,230.62,46.6,16.22,75175.0,1612.0,1805769.0,70.4,12.61,995.0,14.79,1.19,49.96,64.35,18.67
Mysuru,41596,55.58,27.63,15.0,90.0,4.46,Mysuru,Mysuru,Mysore,Mysore,Mysuru,99.5,86.4,14.1,78.9,49.6,17.5,27.5,15.6,28.2,57.2,48.0,57.8,0.7,23.8,38.6,52.4,33.1,336.0,146.0,30.0,24.0,49.0,1,56,44,32,2,4,1,19.0,14.0,12.0,57,43,34,56,43,30,53,37,30,59,36,27,54,44,30,19.18,57.54,61.95,100.0,92.15,14.14,90.31,97.72,6.9,1.73,3.63,1.94,234.73,70.8,22.32,146232.0,2065.0,3001127.0,72.79,12.25,985.0,21.01,14.2,47.2,57.32,20.45
Raichur,70124,46.57,27.73,10.0,85.0,0.15,Raichur,Kalaburagi,Raichur,Raichur,Raichur,99.7,53.0,15.5,54.3,31.7,21.9,39.8,23.2,40.7,73.6,60.4,87.8,0.5,11.7,19.5,34.6,18.5,257.0,126.0,16.0,14.0,37.0,1,54,45,30,4,4,-1,26.0,12.0,24.0,53,45,32,54,47,29,56,40,28,53,45,29,55,45,29,41.19,46.46,73.79,93.09,43.5,8.43,20.48,91.82,14.75,1.66,4.72,0.7,230.15,146.5,26.45,231032.0,1577.0,1928812.0,59.56,21.02,1000.0,21.81,22.87,50.14,65.39,20.76
Ramanagara,24946,59.21,27.81,15.0,95.0,4.6,Ramanagara,Bengaluru,Ramanagara,Ramanagara,Ramanagara,99.6,89.6,41.1,82.7,54.5,11.8,15.6,20.0,19.8,60.2,45.5,56.7,0.0,29.2,57.1,61.3,38.2,293.0,122.0,31.0,17.0,48.0,1,55,37,29,0,0,1,24.0,29.0,29.0,54,39,31,48,38,30,60,37,26,55,37,29,56,36,27,18.87,57.34,56.65,100.0,39.45,8.89,28.99,97.67,5.57,1.49,2.6,0.76,230.62,43.5,14.73,52316.0,1204.0,1082636.0,69.22,14.54,976.0,20.01,2.38,51.93,61.31,14.19
Tumakuru,84111,62.87,26.61,25.0,95.0,3.03,Tumakuru,Bengaluru,Tumkur,Tumkur,Tumakuru,99.6,86.1,2.0,81.9,58.9,24.8,40.3,10.9,26.7,67.6,49.3,70.6,0.7,30.8,44.4,57.3,34.1,313.0,144.0,30.0,14.5,51.5,2,62,42,32,1,4,-1,7.0,22.0,12.0,64,44,31,67,39,28,64,37,28,63,42,27,59,37,34,17.2,53.475,54.165,99.95,48.855,7.7,27.44,97.645,3.795,1.345,2.55,1.185,237.575,43.95,10.575,72849.5,1694.0,2678980.0,75.14,13.03,984.0,20.57,8.61,53.75,59.16,21.69
Udupi,2815,74.27,23.28,40.0,100.0,3.8,Udupi,Mysuru,Udupi,Udupi,Udupi,99.6,94.5,3.2,90.3,55.4,4.4,23.1,17.6,21.0,58.3,47.3,55.6,0.0,57.8,80.6,85.9,64.2,333.0,151.0,30.0,24.0,44.0,1,61,48,35,3,2,1,9.0,5.0,4.0,63,47,36,53,45,33,58,43,32,66,41,30,58,50,34,24.65,69.91,67.48,100.0,94.14,14.92,56.49,77.13,8.62,1.83,4.44,0.82,228.93,81.9,18.71,58730.0,717.0,1177361.0,86.24,0.45,1094.0,6.59,4.62,44.18,22.92,10.91
Uttara Kannada,801,69.96,26.37,30.0,100.0,7.76,Uttara Kannada,Belagavi,Uttara Kannada,Uttara Kannada,Uttara Kannada,99.1,89.6,8.1,84.3,49.2,11.6,29.6,21.9,33.3,69.0,44.6,78.5,0.0,66.4,75.7,82.9,61.0,326.0,167.5,29.5,13.0,46.0,2,74,52,36,0,1,1,1.0,1.0,2.0,73,54,38,74,53,35,67,47,30,83,52,37,74,50,34,18.875,66.175,68.215,100.0,77.585,5.54,12.755,65.865,5.315,1.41,2.885,0.56,236.51,54.55,7.21,57471.0,1048.0,1437169.0,84.06,8.87,979.0,7.59,2.67,44.78,35.31,19.81
Vijayanagara,61409,43.26,27.96,5.0,80.0,1.45,Vijayanagara,Kalaburagi,,,,,,,,,,,,,,,,,,,,,287.0,146.0,21.0,15.0,43.0,1,62,47,33,0,3,3,7.0,7.0,8.0,68,49,35,69,51,31,61,41,33,67,40,30,59,46,29,29.07,42.86,67.42,95.85,45.02,10.34,14.78,95.07,17.91,1.5,4.8,0.85,231.18,134.5,23.22,139169.0,1035.0,,,,,,,,,
Vijayapura,69583,57.23,29.05,15.0,95.0,1.38,Vijayapura,Belagavi,Bijapur,Bijapur,Vijayapura,97.6,44.8,24.9,66.6,37.1,39.2,45.9,15.0,39.0,65.2,52.9,63.3,1.2,21.8,33.3,53.6,33.4,274.0,127.0,22.0,15.0,44.0,1,47,47,33,1,0,0,31.0,7.0,8.0,43,49,32,46,45,30,42,56,29,39,46,30,53,45,35,27.81,41.74,55.6,97.38,80.78,9.09,22.97,80.58,4.47,1.18,4.47,0.8,229.29,126.9,31.23,256842.0,2024.0,2177331.0,67.15,20.43,960.0,21.73,1.89,45.4,64.63,18.12
Yadgir,44853,48.23,28.51,10.0,85.0,-0.87,Yadgir,Kalaburagi,Yadgir,Yadgir,Yadgir,99.0,37.4,6.2,48.1,26.4,33.2,57.6,17.7,45.2,76.0,57.3,86.0,0.7,9.5,37.1,48.4,22.8,258.0,124.0,19.0,13.0,43.0,1,66,44,30,0,7,0,3.0,14.0,24.0,63,38,30,63,42,29,70,35,30,65,41,27,69,49,30,46.21,41.55,68.19,76.79,44.62,6.97,13.45,68.73,8.21,1.32,4.45,1.14,228.61,147.0,26.34,147590.0,1004.0,1174271.0,51.83,23.25,989.0,25.14,13.39,48.9,64.26,20.83
