district,block,n_students,pct_mean,pct_sd,pct_floor,pct_p90,gender_gap_pp
Dharwad,B0086 kundagol,10273,64.73,25.49,25.0,95.0,3.67
Dharwad,B0106 navalgund,10303,54.17,27.59,15.0,90.0,3.52
Gadag,B0043 gadag rural,12123,47.99,27.32,10.0,85.0,4.33
Gadag,B0102 mundaragi,8454,47.98,27.01,10.0,85.0,2.43
Gadag,B0105 naragund,4842,54.06,27.26,15.0,90.0,0.94
Gadag,B0115 ron,14509,56.01,28.06,15.0,90.0,1.76
Gadag,B0122 shirhatti,11483,56.02,26.77,15.0,90.0,2.85
Hassan,B0003 alur,2879,64.81,25.56,25.0,95.0,4.66
Hassan,B0004 arakalagudu,7281,53.6,26.17,15.0,85.0,4.62
Hassan,B0005 arasikere,7841,59.58,26.69,20.0,95.0,2.89
Hassan,B0018 belur,4843,59.29,25.14,20.0,90.0,2.97
Hassan,B0029 channarayapatna,6418,68.29,26.64,25.0,100.0,3.78
Hassan,B0057 hassan,6449,62.57,25.84,25.0,95.0,1.93
Hassan,B0061 holenarasipura,5928,52.51,26.66,15.0,85.0,3.75
Hassan,B0116 sakaleshapura,3578,59.0,25.95,20.0,90.0,4.13
Haveri,B0023 byadagi,5085,60.09,25.73,25.0,90.0,8.25
Haveri,B0053 hanagal,10350,53.67,26.88,15.0,90.0,5.15
Haveri,B0058 hirekerur,8486,58.68,27.03,20.0,95.0,2.35
Haveri,B0114 ranebennur,9481,61.78,25.99,25.0,95.0,3.21
Haveri,B0118 savanur,6809,57.93,26.84,20.0,90.0,1.23
Haveri,B0121 shiggoan,5416,64.82,23.33,30.0,95.0,3.39
Haveri,B0149 haveri,8364,55.76,26.98,15.0,90.0,5.13
Kalaburagi,B0001 afzalpur,10194,46.82,30.0,5.0,90.0,-0.68
Kalaburagi,B0002 aland,15677,42.87,28.07,5.0,85.0,-0.14
Kalaburagi,B0033 chincholi,12003,41.39,27.9,5.0,80.0,0.71
Kalaburagi,B0036 chittapur,13761,35.16,26.33,5.0,75.0,2.19
Kalaburagi,B0048 gulbarga north,5279,45.63,26.97,10.0,85.0,0.96
Kalaburagi,B0049 gulbarga south,7377,40.49,27.0,5.0,80.0,1.7
Kalaburagi,B0073 jewargi,16840,46.48,28.74,10.0,85.0,-0.87
Kalaburagi,B0119 sedam,10516,37.86,27.31,5.0,80.0,2.32
Kodagu,B0092 madikeri,4776,55.02,26.16,20.0,90.0,4.59
Kodagu,B0129 somavarpet,3787,59.34,25.54,20.0,90.0,3.81
