idx,section,indicator,nfhs6_urban,nfhs6_rural,nfhs6_total,nfhs5_total
43,Population and Household Profile Urban Rural Total Total,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/ other health personnel within 2 days of delivery+ (%) Child Vaccinations and Vitamin A Supplementation,92.5,93.8,93.2,85.5
44,Population and Household Profile Urban Rural Total Total,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall6 (%),90.0,90.5,90.2,84.3
45,Population and Household Profile Urban Rural Total Total,Children age 12-23 months fully vaccinated based on information from vaccination card only7 (%),89.9,93.1,91.8,88.3
46,Population and Household Profile Urban Rural Total Total,Children age 12-23 months who have received any vaccine (%),96.9,96.8,96.8,97.5
47,Population and Household Profile Urban Rural Total Total,Children age 12-23 months who have received BCG (%),96.5,96.4,96.4,97.1
48,Population and Household Profile Urban Rural Total Total,Children age 12-23 months who have received 3 doses of polio vaccine8 (%),91.0,91.6,91.3,87.5
49,Population and Household Profile Urban Rural Total Total,Children age 12-23 months who have received 3 doses of pentavalent vaccine (%),92.5,93.8,93.3,92.3
50,Population and Household Profile Urban Rural Total Total,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),95.9,95.4,95.6,91.4
51,Population and Household Profile Urban Rural Total Total,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),78.6,80.2,79.4,62.4
52,Population and Household Profile Urban Rural Total Total,Children age 12-23 months who have received birth dose of hepatitis B vaccine (%),90.8,93.7,92.5,84.5
53,Population and Household Profile Urban Rural Total Total,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),87.5,82.3,84.4,5.9
54,Population and Household Profile Urban Rural Total Total,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),88.5,90.7,89.7,86.2
55,Population and Household Profile Urban Rural Total Total,Children age 12-23 months who received most of their vaccinations in a public health facility (%),82.4,96.7,90.9,91.7
56,Population and Household Profile Urban Rural Total Total,Children age 12-23 months who received most of their vaccinations in a private health facility (%) Treatment of Childhood Diseases (children under age 5 years),16.2,3.3,8.6,7.9
57,Population and Household Profile Urban Rural Total Total,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),5.8,6.5,6.2,5.3
58,Population and Household Profile Urban Rural Total Total,Prevalence of severe diarrhoea in the 2 weeks preceding the survey (%),1.4,1.0,1.2,0.7
59,Population and Household Profile Urban Rural Total Total,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),0.6,0.9,0.8,1.5
60,Population and Household Profile Urban Rural Total Total,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%) Child Feeding Practices and Nutritional Status of Children,82.8,78.8,80.3,65.7
61,Population and Household Profile Urban Rural Total Total,Children under age 3 years breastfed within one hour of birth9 (%),52.7,44.7,48.3,49.1
62,Population and Household Profile Urban Rural Total Total,Children under age 6 months exclusively breastfed10 (%),58.6,63.7,61.6,61.0
63,Population and Household Profile Urban Rural Total Total,Children under age 6 months currently breastfeeding10 (%),92.8,94.5,93.8,92.4
64,Population and Household Profile Urban Rural Total Total,Children under age 6 months exclusively breastfed or breastfeeding and consuming plain water only/other milk10 (%),79.9,84.0,82.3,75.2
65,Population and Household Profile Urban Rural Total Total,Children age 6-8 months receiving solid or semi-solid food and breastmilk10 (%),60.7,56.2,57.9,45.8
66,Population and Household Profile Urban Rural Total Total,"Breastfeeding children age 6-23 months receiving an adequate diet10, 11 (%)",14.8,13.8,14.2,10.6
67,Population and Household Profile Urban Rural Total Total,"Non-breastfeeding children age 6-23 months receiving an adequate diet10, 11 (%)",31.2,31.2,31.2,18.9
68,Population and Household Profile Urban Rural Total Total,"Total children age 6-23 months receiving an adequate diet10, 11 (%)",19.7,17.3,18.3,12.4
69,Population and Household Profile Urban Rural Total Total,Children under 5 years who are stunted (height-for-age)12 (%),19.0,32.0,26.5,35.4
70,Population and Household Profile Urban Rural Total Total,Children under 5 years who are wasted (weight-for-height)12 (%),16.3,20.5,18.7,19.5
71,Population and Household Profile Urban Rural Total Total,Children under 5 years who are severely wasted (weight-for-height)13 (%),3.1,5.6,4.6,8.4
72,Population and Household Profile Urban Rural Total Total,Children under 5 years who are underweight (weight-for-age)12 (%),20.2,33.4,27.8,32.9
73,Population and Household Profile Urban Rural Total Total,"Children under 5 years who are overweight (weight-for-height)14 (%) +LHV = Lady Health Visitor; ANM = Auxiliary Nurse Midwife 6Vaccinated with BCG, measles-containing vaccine (MCV)/MR/MMR/Measles, and 3 doses each of polio (excluding polio vaccine given at birth) and DPT or penta vaccine. 7Among children whose vaccination card was shown to the interviewer, percentage vaccinated with BCG, measles-containing vaccine (MCV)/MR/MMR/Measles, and 3 doses each of polio (excluding polio vaccine given at birth) and DPT or penta vaccine. 8Not including polio vaccination given at birth. 9Based on the last child born in the 3 years before the survey. 10Based on the youngest child living with the mother. 11Breastfed children receiving 4 or more food groups and a minimum meal frequency, non-breastfed children fed with a minimum of 3 Infant and Young Child Feeding Practices (fed with other milk or milk products at least twice a day, a minimum meal frequency that is, receiving solid or semi-solid food at least twice a day for breastfed infants 6-8 months and at least three times a day for breastfed children 9-23 months, and solid or semi-solid foods from at least four food groups not including the milk or milk products food group). 12Below -2 standard deviations, based on the WHO standard. 13Below -3 standard deviations, based on the WHO standard. 14Above +2 standard deviations, based on the WHO standard. Nutritional Status of Adults (age 15-49 years) Urban Rural Total Total",1.1,0.9,1.0,3.2
74,Population and Household Profile Urban Rural Total Total,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2)15 (%),10.5,18.6,15.1,17.2
