district_code,district_name,cd_block_code,name,total_rural_urban,no_of_households,total_population_person,total_population_male,total_population_female,population_in_the_age_group_0_6_person,scheduled_castes_population_person,scheduled_tribes_population_person,literates_population_person,literates_population_male,literates_population_female,total_worker_population_person,main_cultivator_population_person,main_agricultural_labourers_population_person,marginal_worker_population_person,rural_population,literacy_rate_7plus,male_female_literacy_gap_pp,sex_ratio,sc_pct,st_pct,child_0_6_pct,work_participation_rate,agri_labour_share_of_workers,marginal_worker_share,rural_share_pct
571,Tumkur,0104,Koratagere,Total,36874,152326,76749,75577,15647,35935,16003,96495,54433,42062,89208,36876,17708,21529,152326,70.6,12.82,984.7,23.59,10.51,10.27,58.56,61.19,24.13,100.0
563,Uttara Kannada,0054,Siddapur,Total,19761,83118,41169,41949,7668,5609,154,63128,33393,29735,46541,9100,6736,12513,83118,83.67,5.79,1018.9,6.75,0.19,9.23,55.99,34.03,26.89,100.0
570,Chikmagalur,0099,Mudigere,Total,28764,116216,57164,59052,10873,30194,14657,79924,42725,37199,61414,4583,5109,3943,116216,75.87,6.91,1033.0,25.98,12.61,9.36,52.84,15.78,6.42,100.0
574,Hassan,0124,Hassan,Total,65630,262730,131008,131722,23222,41286,3584,182509,100349,82160,131906,70132,7554,19953,218682,76.2,9.97,1005.5,15.71,1.36,8.84,50.21,58.89,15.13,83.23
577,Mysore,0142,Nanjangud,Total,78727,334324,168030,166294,33106,77538,49702,177916,99155,78761,152282,42337,47624,28178,334324,59.07,11.46,989.7,23.19,14.87,9.9,45.55,59.08,18.5,100.0
555,Belgaum,0009,Parasgad,Total,61511,311714,158163,153551,44632,31032,37834,180265,106304,73961,147203,46528,49701,26747,311714,67.49,17.94,970.8,9.96,12.14,14.32,47.22,65.37,18.17,100.0
581,Kolar,0161,Bangarapet,Total,57973,264750,134102,130648,29946,89407,9425,164427,93438,70989,125847,31418,29603,25015,235340,70.03,13.65,974.2,33.77,3.56,11.31,47.53,48.49,19.88,88.89
582,Chikkaballapura,0168,Chintamani,Total,48838,222002,112280,109722,22139,61889,28565,136593,78267,58326,119129,44715,35798,14709,222002,68.34,14.6,977.2,27.88,12.87,9.97,53.66,67.58,12.35,100.0
573,Mandya,0119,Maddur,Total,64014,266678,133537,133141,24805,37066,1681,162194,90893,71301,126921,56557,27251,17053,260285,67.06,12.08,997.0,13.9,0.63,9.3,47.59,66.03,13.44,97.6
563,Uttara Kannada,0055,Honavar,Total,33327,147155,73670,73485,14106,7074,323,110449,59046,51403,61969,5608,6201,11894,147155,83.01,6.92,997.5,4.81,0.22,9.59,42.11,19.06,19.19,100.0
568,Shimoga,0088,Shimoga,Total,41592,184674,93244,91430,20290,51333,11824,122937,67134,55803,82825,23813,30900,9676,184674,74.79,9.22,980.5,27.8,6.4,10.99,44.85,66.06,11.68,100.0
555,Belgaum,0010,Ramdurg,Total,42511,225189,114297,110892,34476,36032,8395,122154,73121,49033,110791,35266,33012,20595,223727,64.05,19.72,970.2,16.0,3.73,15.31,49.2,61.63,18.59,99.35
571,Tumkur,0105,Tumkur,Total,67797,290254,150272,139982,28695,61264,22152,198918,113619,85299,143934,50332,23631,27962,290254,76.05,14.24,931.5,21.11,7.63,9.89,49.59,51.39,19.43,100.0
577,Mysore,0143,Tirumakudal - Narsipur,Total,60813,260159,130411,129748,26505,72503,34380,143200,78143,65057,110671,28478,27905,32624,240540,61.29,9.14,994.9,27.87,13.21,10.19,42.54,50.95,29.48,92.46
563,Uttara Kannada,0056,Bhatkal,Total,25596,129576,64336,65240,13847,13678,8835,93469,49869,43600,47854,4308,2951,6577,111846,80.77,6.71,1014.1,10.56,6.82,10.69,36.93,15.17,13.74,86.32
573,Mandya,0120,Malavalli,Total,57389,245664,123908,121756,23503,50836,1373,143487,80702,62785,117934,43132,28311,25677,245664,64.59,12.49,982.6,20.69,0.56,9.57,48.01,60.58,21.77,100.0
568,Shimoga,0089,Bhadravati,Total,42739,188744,94864,93880,20437,46538,9488,124513,67610,56903,89215,18165,33054,18318,188744,73.98,8.6,989.6,24.66,5.03,10.83,47.27,57.41,20.53,100.0
574,Hassan,0125,Alur,Total,19483,78714,38954,39760,6867,21884,1915,52429,28711,23718,45929,21999,7898,5122,78714,72.97,9.52,1020.7,27.8,2.43,8.72,58.35,65.09,11.15,100.0
581,Kolar,0162,Mulbagal,Total,42353,201659,101611,100048,23205,66831,7958,121653,69772,51881,112720,37505,34288,21797,201659,68.17,14.71,984.6,33.14,3.95,11.51,55.9,63.69,19.34,100.0
571,Tumkur,0106,Gubbi,Total,59182,244072,122876,121196,23872,41009,18280,161985,89690,72295,132510,59887,21068,29215,244072,73.56,10.74,986.3,16.8,7.49,9.78,54.29,61.09,22.05,100.0
574,Hassan,0126,Arkalgud,Total,44677,187775,93829,93946,17855,39945,2696,115094,65437,49657,98391,52480,14045,19669,187775,67.73,13.71,1001.2,21.27,1.44,9.51,52.4,67.61,19.99,100.0
571,Tumkur,0107,Tiptur,Total,40624,163206,81333,81873,14555,26004,6504,118620,64574,54046,79434,31560,8899,19464,163206,79.8,8.88,1006.6,15.93,3.99,8.92,48.67,50.93,24.5,100.0
574,Hassan,0127,Hole Narsipur,Total,35252,152213,76664,75549,14821,28979,3329,88298,51758,36540,83515,47523,7233,18681,152213,64.27,17.23,985.5,19.04,2.19,9.74,54.87,65.56,22.37,100.0
571,Tumkur,0108,Turuvekere,Total,38552,154800,76891,77909,13639,21162,4332,107724,59432,48292,78208,37949,8934,17102,152177,76.31,10.34,1013.2,13.67,2.8,8.81,50.52,59.95,21.87,98.31
574,Hassan,0128,Channarayapatna,Total,60392,241006,118825,122181,21013,27016,2397,162093,90075,72018,130923,70743,11841,31780,232896,73.68,11.14,1028.2,11.21,0.99,8.72,54.32,63.08,24.27,96.63
