state,division,revenue_district,district,academic_year,n_schools_4_6,n_schools_govt,pct_govt_schools,pct_private_schools,pct_rural_schools,enrolment_all,enrolment_govt,teachers_govt,ptr_govt,pct_female_teachers_govt,pct_teachers_graduate_plus_govt,pct_sch_electricity_govt,pct_sch_library_govt,pct_sch_playground_govt,pct_sch_tapwater_functional_govt,pct_sch_internet_govt,pct_sch_computer_lab_govt,pct_sch_ramps_govt,pct_sch_reading_corner_govt,pct_sch_handwash_meal_govt,pct_sch_kannada_medium_govt,pct_sch_preprimary_govt,girls_func_toilets_per_school_govt,good_classrooms_per_school_govt,acad_inspections_per_school_govt,crc_coordinators_per_school_govt,smc_meetings_per_school_govt,mean_instruction_days_govt,avg_govt_school_size
KARNATAKA,Belagavi,Belagavi,BELAGAVI CHIKKODI,2024-25,2539,1997,78.65,21.35,76.29,404003.0,265187.0,8615.0,30.78,44.47,66.81,98.8,99.85,93.44,78.92,87.43,8.91,96.9,89.93,92.54,78.62,8.29,1.62,4.84,1.4,7.6,5.3,233.82,132.8
KARNATAKA,Bengaluru,Bengaluru Rural,BENGALURU RURAL,2024-25,1340,1072,80.0,20.0,83.81,148328.0,48739.0,2722.0,17.91,56.54,53.31,99.91,100.0,68.19,95.9,53.73,9.14,81.62,96.46,84.7,93.0,8.25,1.65,3.24,0.8,9.55,4.98,232.63,45.5
KARNATAKA,Bengaluru,Bengaluru Urban,BENGALURU U NORTH,2024-25,1980,625,31.57,68.38,25.2,708192.0,119148.0,3488.0,34.16,78.04,61.01,99.2,98.4,55.2,90.56,50.56,24.32,76.48,91.68,96.8,80.0,14.56,2.9,6.95,2.06,5.71,5.44,228.9,190.6
KARNATAKA,Bengaluru,Bengaluru Urban,BENGALURU U SOUTH,2024-25,3028,1021,33.72,66.25,24.57,1183744.0,146830.0,4370.0,33.6,80.64,57.05,99.12,95.1,45.94,88.93,32.52,22.14,65.03,90.21,93.54,84.04,11.57,2.78,5.82,0.92,4.63,4.29,228.86,143.8
KARNATAKA,Kalaburagi,Bidar,BIDAR,2024-25,2138,1491,69.74,30.26,73.39,261177.0,130923.0,5820.0,22.5,46.8,52.89,89.54,83.84,50.23,63.04,11.47,4.69,76.32,48.29,63.72,66.8,9.53,1.32,5.15,1.39,5.35,2.0,231.96,87.8
KARNATAKA,Mysuru,Chamarajanagara,CHAMARAJANAGARA,2024-25,955,815,85.34,14.66,85.13,92289.0,57771.0,2712.0,21.3,49.93,59.22,97.67,99.63,56.32,96.69,32.27,16.69,90.55,97.3,97.79,91.41,4.97,1.72,3.46,1.47,8.78,6.1,236.14,70.9
KARNATAKA,Bengaluru,Chikkaballapura,CHIKKABALLAPURA,2024-25,1703,1470,86.32,13.62,88.49,147208.0,64241.0,3653.0,17.59,47.17,59.59,99.59,99.39,53.33,93.54,26.67,7.01,63.4,92.99,88.16,92.72,4.19,1.37,2.73,0.79,5.97,4.13,228.43,43.7
KARNATAKA,Mysuru,Chikkamagaluru,CHIKKAMANGALURU,2024-25,1545,1342,86.86,13.14,87.25,117810.0,61520.0,3997.0,15.39,50.24,56.94,98.58,100.0,77.12,94.86,32.49,9.02,83.98,92.85,93.14,90.98,7.0,1.26,3.38,1.67,7.66,6.87,228.74,45.8
KARNATAKA,Bengaluru,Chitradurga,CHITRADURGA,2024-25,2003,1749,87.32,12.68,85.42,200311.0,117651.0,5854.0,20.1,49.42,56.39,98.0,99.71,57.86,96.51,62.15,8.75,96.68,91.82,84.73,92.4,8.22,1.27,2.96,0.87,7.43,4.9,231.64,67.3
KARNATAKA,Mysuru,Dakshina Kannada,DAKSHINA KANNADA,2024-25,1477,1116,75.56,24.44,73.39,303047.0,113587.0,4616.0,24.61,80.31,67.33,100.0,100.0,94.62,86.83,91.4,17.29,99.19,99.55,100.0,97.76,10.14,2.58,4.8,1.1,5.15,7.29,235.88,101.8
KARNATAKA,Bengaluru,Davanagere,DAVANAGERE,2024-25,1675,1246,74.39,25.61,72.36,219106.0,102827.0,4961.0,20.73,47.17,54.97,98.48,100.0,79.45,95.83,17.5,11.48,94.86,55.86,82.34,86.68,10.83,1.33,4.17,1.87,9.5,5.25,231.67,82.5
KARNATAKA,Belagavi,Dharwad,DHARWAD,2024-25,1272,903,70.99,29.01,51.89,289979.0,154796.0,5330.0,29.04,62.81,69.76,98.67,96.57,67.44,96.12,23.15,11.63,86.38,89.92,83.83,79.62,7.67,1.95,6.22,0.99,6.6,4.89,233.41,171.4
KARNATAKA,Belagavi,Gadag,GADAG,2024-25,904,703,77.77,22.23,65.49,147888.0,101925.0,3612.0,28.22,47.04,64.45,99.57,100.0,77.52,94.17,84.5,13.66,98.29,96.73,93.03,84.64,7.11,1.5,6.15,1.05,8.69,4.62,230.23,145.0
KARNATAKA,Mysuru,Hassan,HASSAN,2024-25,2533,2237,88.31,11.69,88.67,171859.0,76675.0,5559.0,13.79,52.96,51.83,98.75,100.0,54.89,97.63,18.33,4.96,89.99,98.12,94.99,93.88,5.87,1.3,2.39,0.86,11.66,6.54,235.77,34.3
KARNATAKA,Belagavi,Haveri,HAVERI,2024-25,1566,1287,82.18,17.82,80.33,224525.0,153686.0,5848.0,26.28,46.43,68.25,98.99,98.14,71.17,95.88,20.67,11.34,89.67,93.78,95.26,76.38,9.04,1.35,4.5,1.21,6.51,4.5,229.59,119.4
KARNATAKA,Kalaburagi,Kalaburagi,KALBURGI,2024-25,3011,2065,68.58,31.42,68.71,437048.0,252571.0,8305.0,30.41,50.67,58.27,94.72,95.3,54.62,76.8,16.08,7.75,79.9,68.72,60.48,81.21,11.54,1.4,5.09,0.83,4.47,2.27,227.8,122.3
KARNATAKA,Mysuru,Kodagu,KODAGU,2024-25,519,402,77.46,22.54,91.91,66171.0,24612.0,1351.0,18.22,74.32,66.03,99.25,100.0,95.02,84.08,24.38,16.17,97.01,98.26,99.0,95.77,4.12,2.3,4.35,1.14,6.04,6.36,231.1,61.2
KARNATAKA,Bengaluru,Kolar,KOLAR,2024-25,2199,1836,83.49,16.51,85.54,179889.0,74233.0,4748.0,15.63,56.68,53.92,98.91,99.56,32.03,93.95,24.13,5.45,63.07,93.41,82.03,89.38,3.73,1.4,2.53,1.88,6.56,4.94,235.19,40.4
KARNATAKA,Kalaburagi,Koppal,KOPPAL,2024-25,1380,1059,76.74,23.26,76.52,245008.0,180164.0,4643.0,38.8,42.64,72.02,95.0,94.43,57.88,93.86,30.88,8.88,84.42,88.67,86.12,89.33,10.64,1.56,5.36,0.78,4.56,3.44,230.34,170.1
KARNATAKA,Mysuru,Mandya,MANDYA,2024-25,1924,1612,83.78,16.22,88.1,161886.0,75175.0,4288.0,17.53,52.68,57.84,99.26,99.94,70.72,98.14,42.43,7.82,98.45,88.4,90.38,93.98,6.21,1.5,3.14,0.81,5.73,4.98,230.62,46.6
KARNATAKA,Mysuru,Mysuru,MYSURU,2024-25,2661,2065,77.6,22.32,77.49,372867.0,146232.0,7626.0,19.18,57.54,61.95,99.9,100.0,92.15,97.72,90.31,14.14,96.27,98.21,98.35,90.75,6.9,1.73,3.63,1.94,10.12,7.25,234.73,70.8
KARNATAKA,Kalaburagi,Raichur,RAICHUR,2024-25,2144,1577,73.55,26.45,72.53,340972.0,231032.0,5609.0,41.19,46.46,73.79,96.32,93.09,43.5,91.82,20.48,8.43,72.54,83.7,68.61,89.54,14.75,1.66,4.72,0.7,5.04,3.08,230.15,146.5
KARNATAKA,Bengaluru,Ramanagara,RAMANAGARA,2024-25,1412,1204,85.27,14.73,83.43,112660.0,52316.0,2773.0,18.87,57.34,56.65,99.5,100.0,39.45,97.67,28.99,8.89,91.36,92.77,92.44,90.61,5.57,1.49,2.6,0.76,10.62,5.82,230.62,43.5
KARNATAKA,Bengaluru,Shivamogga,SHIVAMOGGA,2024-25,2278,1949,85.56,14.44,78.97,208957.0,110065.0,6267.0,17.56,55.61,66.33,99.64,99.9,79.63,90.46,57.57,7.59,89.33,93.79,91.12,88.81,6.74,1.38,3.63,1.38,6.68,5.32,234.48,56.5
KARNATAKA,Bengaluru,Tumakuru,TUMAKURU,2024-25,2380,2103,88.36,11.64,87.18,176644.0,84460.0,5284.0,15.98,59.46,47.22,99.1,99.9,44.17,97.62,27.1,8.08,86.97,96.05,91.35,91.2,2.63,1.33,2.48,0.65,6.92,5.78,237.87,40.2
KARNATAKA,Bengaluru,Tumakuru,TUMAKURU MADHUGIRI,2024-25,1420,1285,90.49,9.51,91.83,103606.0,61239.0,3325.0,18.42,47.49,61.11,97.82,100.0,53.54,97.67,27.78,7.32,81.95,98.37,95.56,94.01,4.96,1.36,2.62,1.72,10.15,6.23,237.28,47.7
KARNATAKA,Mysuru,Udupi,UDUPI,2024-25,882,717,81.29,18.71,86.62,146247.0,58730.0,2383.0,24.65,69.91,67.48,100.0,100.0,94.14,77.13,56.49,14.92,97.91,98.19,99.86,97.49,8.62,1.83,4.44,0.82,5.18,6.82,228.93,81.9
KARNATAKA,Belagavi,Uttara Kannada,UTTARA KANNADA,2024-25,1062,964,90.77,9.23,85.22,84873.0,49392.0,3003.0,16.45,69.16,65.67,99.9,100.0,59.23,60.79,15.35,6.22,93.26,97.93,99.38,90.77,2.55,1.46,3.11,0.61,7.41,7.61,237.75,51.2
KARNATAKA,Belagavi,Uttara Kannada,UTTARA KANNADA SIRSI,2024-25,1194,1132,94.81,5.19,88.44,84348.0,65550.0,3078.0,21.3,63.19,70.76,99.2,100.0,95.94,70.94,10.16,4.86,95.85,90.72,94.7,90.11,8.08,1.36,2.66,0.51,4.09,4.28,235.27,57.9
KARNATAKA,Kalaburagi,Vijayanagara,VIJAYANAGARA,2024-25,1348,1035,76.78,23.22,74.93,206571.0,139169.0,4788.0,29.07,42.86,67.42,95.75,95.85,45.02,95.07,14.78,10.34,84.35,77.0,79.61,91.88,17.91,1.5,4.8,0.85,5.57,3.66,231.18,134.5
KARNATAKA,Belagavi,Vijayapura,VIJAYAPURA,2024-25,2943,2024,68.77,31.23,72.71,416813.0,256842.0,9234.0,27.81,41.74,55.6,92.39,97.38,80.78,80.58,22.97,9.09,83.1,81.67,73.81,81.87,4.47,1.18,4.47,0.8,6.18,3.55,229.29,126.9
KARNATAKA,Kalaburagi,Yadgir,YADAGIRI,2024-25,1363,1004,73.66,26.34,74.47,205933.0,147590.0,3194.0,46.21,41.55,68.19,90.94,76.79,44.62,68.73,13.45,6.97,82.97,74.8,67.73,86.45,8.21,1.32,4.45,1.14,4.66,2.57,228.61,147.0
