state,division,revenue_district,district,academic_year,n_schools_4_6,n_schools_govt,pct_govt_schools,pct_private_schools,pct_rural_schools,enrolment_all,enrolment_govt,teachers_govt,ptr_govt,pct_female_teachers_govt,pct_teachers_graduate_plus_govt,pct_sch_electricity_govt,pct_sch_library_govt,pct_sch_playground_govt,pct_sch_tapwater_functional_govt,pct_sch_internet_govt,pct_sch_computer_lab_govt,pct_sch_ramps_govt,pct_sch_reading_corner_govt,pct_sch_handwash_meal_govt,pct_sch_kannada_medium_govt,pct_sch_preprimary_govt,girls_func_toilets_per_school_govt,good_classrooms_per_school_govt,acad_inspections_per_school_govt,crc_coordinators_per_school_govt,smc_meetings_per_school_govt,mean_instruction_days_govt,avg_govt_school_size
KARNATAKA,Kalaburagi,Kalaburagi,KALBURGI,2022-23,3136,2094,66.77,33.23,67.7,473229.0,281176.0,8669.0,32.43,49.07,52.6,93.46,89.4,52.2,75.07,11.65,0.0,78.89,65.62,51.81,80.95,7.25,1.31,5.21,1.48,5.72,3.3,221.16,134.3
KARNATAKA,Mysuru,Kodagu,KODAGU,2022-23,532,412,77.44,22.56,92.86,68807.0,27559.0,1381.0,19.96,73.21,59.45,99.51,100.0,88.83,86.17,18.93,0.0,98.54,97.82,98.06,95.87,3.02,2.22,4.43,1.27,6.46,7.2,223.49,66.9
KARNATAKA,Bengaluru,Kolar,KOLAR,2022-23,2243,1884,83.99,16.01,85.6,195490.0,89365.0,4821.0,18.54,56.11,49.26,99.04,97.72,30.04,88.16,9.66,0.0,59.24,89.38,75.0,89.07,2.88,1.37,2.46,3.15,8.55,7.07,228.49,47.4
KARNATAKA,Kalaburagi,Koppal,KOPPAL,2022-23,1413,1051,74.38,25.62,75.73,258767.0,192419.0,4958.0,38.81,41.85,66.58,95.72,94.39,57.94,87.44,32.92,0.0,83.25,89.91,83.73,90.01,4.22,1.55,5.42,0.67,5.77,7.84,228.67,183.1
KARNATAKA,Mysuru,Mandya,MANDYA,2022-23,2001,1680,83.96,16.04,88.26,172342.0,91292.0,4355.0,20.96,49.64,50.01,99.46,100.0,67.74,97.74,40.36,0.0,99.94,86.55,87.38,94.17,5.28,1.47,3.13,1.37,6.69,7.35,220.48,54.3
KARNATAKA,Mysuru,Mysuru,MYSURU,2022-23,2664,2076,77.93,22.0,77.52,381695.0,166725.0,7105.0,23.47,55.92,54.76,100.0,99.95,84.83,96.19,78.52,0.0,94.22,96.29,96.05,90.75,5.66,1.69,3.55,1.37,9.14,7.99,227.77,80.3
KARNATAKA,Kalaburagi,Raichur,RAICHUR,2022-23,2173,1579,72.66,27.34,72.3,364994.0,250878.0,6538.0,38.37,44.43,69.56,97.4,92.15,42.62,91.83,12.86,0.0,66.56,82.08,63.2,89.55,5.24,1.61,4.76,0.72,7.62,5.71,224.06,158.9
KARNATAKA,Bengaluru,Ramanagara,RAMANAGARA,2022-23,1479,1268,85.73,14.27,83.98,118935.0,62098.0,2980.0,20.84,55.94,53.86,99.84,100.0,38.09,96.69,11.2,0.0,94.64,91.09,87.78,91.01,3.5,1.42,2.43,1.4,7.7,7.7,224.21,49.0
KARNATAKA,Bengaluru,Shivamogga,SHIVAMOGGA,2022-23,2314,1985,85.78,14.22,79.13,217893.0,127004.0,6210.0,20.45,54.44,61.1,99.8,100.0,83.12,90.18,56.42,0.0,91.84,93.25,85.89,89.07,6.35,1.4,3.63,1.81,7.35,7.62,228.05,64.0
KARNATAKA,Bengaluru,Tumakuru,TUMAKURU,2022-23,2421,2152,88.89,11.11,87.44,185371.0,98805.0,5451.0,18.13,59.07,41.86,99.63,98.14,34.53,97.26,12.22,0.0,91.91,94.01,85.08,91.12,2.52,1.28,2.42,0.7,8.1,8.74,225.57,45.9
KARNATAKA,Bengaluru,Tumakuru,TUMAKURU MADHUGIRI,2022-23,1442,1306,90.57,9.43,91.96,108705.0,68998.0,3310.0,20.85,45.8,55.98,98.32,100.0,50.38,97.24,8.42,0.0,75.8,97.17,89.89,93.64,2.92,1.32,2.5,1.33,9.77,7.69,227.02,52.8
KARNATAKA,Mysuru,Udupi,UDUPI,2022-23,908,746,82.16,17.84,87.11,145841.0,62286.0,2351.0,26.49,68.91,58.44,100.0,100.0,95.44,77.21,49.87,0.0,97.72,97.99,99.87,97.72,4.96,1.79,4.45,0.61,7.74,7.73,228.5,83.5
KARNATAKA,Belagavi,Uttara Kannada,UTTARA KANNADA,2022-23,1076,978,90.89,9.11,85.41,86700.0,51584.0,3022.0,17.07,67.31,59.99,100.0,100.0,59.3,61.45,10.12,0.0,92.84,97.75,98.67,90.9,1.26,1.38,3.01,0.72,7.08,8.38,231.96,52.7
