Year,GP_ID,canonical_district,block_id,cluster_id,District,Block,Cluster,GP,block_name,block_district,cluster_name,gp_name
2022-23,3900,Hassan,B0116,C0139,hassan,sakaleshapura,ballupete,kuniganahalli,sakaleshapura,Hassan,ballupete,kuniganahalli
2022-23,949,Hassan,B0029,C2443,hassan,channarayapatna,mudanahally,baladare,channarayapatna,Hassan,mudanahally,baladare
2022-23,3096,Hassan,B0029,C1163,hassan,channarayapatna,mathighatta,juttanahally,channarayapatna,Hassan,mathighatta,juttanahally
2022-23,5624,Hassan,B0003,C0881,hassan,alur,kanathur,talur,alur,Hassan,kanathur,talur
2022-23,3143,Hassan,B0005,C0080,hassan,arasikere,arakere,kachigatta,arasikere,Hassan,arakere,kachigatta
2022-23,1420,Chikkaballapura,B0034,C1676,chikkaballapura,chintamani,urdu-3,burudagunte,chintamani,Chikkaballapura,urdu-3,burudagunte
2022-23,3544,Chikkaballapura,B0034,C0343,chikkaballapura,chintamani,chilakalanerpu,kencharlahalli,chintamani,Chikkaballapura,chilakalanerpu,kencharlahalli
2022-23,3202,Chikkaballapura,B0034,C1230,chikkaballapura,chintamani,muragamale,kagathi,chintamani,Chikkaballapura,muragamale,kagathi
2022-23,4551,Chikkaballapura,B0034,C1675,chikkaballapura,chintamani,urdu-2,munagnahalli,chintamani,Chikkaballapura,urdu-2,munagnahalli
2022-23,3730,Chikkaballapura,B0034,C0356,chikkaballapura,chintamani,chinthamani-2,konapalli,chintamani,Chikkaballapura,chinthamani-2,konapalli
2022-23,2823,Tumakuru,B0127,C1668,tumakuru madhugiri,sira,urdu rural,huildore,sira,Tumakuru,urdu rural,huildore
2022-23,5104,Tumakuru,B0127,C1093,tumakuru madhugiri,sira,magodu,rathnasandra,sira,Tumakuru,magodu,rathnasandra
2022-23,582,Tumakuru,B0082,C0719,tumakuru madhugiri,koratagere,hulikunte,akkirampura,koratagere,Tumakuru,hulikunte,akkirampura
2022-23,4291,Ramanagara,B0077,C0415,ramanagara,kanakapura,dodda allahalli,maralebekuppe,kanakapura,Ramanagara,dodda allahalli,maralebekuppe
2022-23,625,Yadgir,B0141,C1751,yadagiri,yadgir,yergole,allipur,yadgir,Yadgir,yergole,allipur
2022-23,6085,Yadgir,B0141,C0105,yadagiri,yadgir,azalapur,yalsatti,yadgir,Yadgir,azalapur,yalsatti
2022-23,3252,Yadgir,B0141,C1086,yadagiri,yadgir,madhawar,kalebelgunda,yadgir,Yadgir,madhawar,kalebelgunda
2022-23,4174,Yadgir,B0123,C1252,yadagiri,shorapur,naganur,malgatti,shorapur,Yadgir,naganur,malgatti
2022-23,4997,Yadgir,B0123,C0399,yadagiri,shorapur,devargonal,peth ammapur,shorapur,Yadgir,devargonal,peth ammapur
2022-23,2578,Yadgir,B0123,C1413,yadagiri,shorapur,rukmapur,hemnoor,shorapur,Yadgir,rukmapur,hemnoor
2022-23,6215,Yadgir,B0123,C1425,yadagiri,shorapur,sagar,arkera (k),shorapur,Yadgir,sagar,arkera (k)
2022-23,1866,Mysuru,B0133,C1237,mysuru,t.n.pura,musuvina koppalu,dodda hebbagilu,t.n.pura,Mysuru,musuvina koppalu,dodda hebbagilu
2022-23,4862,Vijayanagara,B0084,C1662,vijayanagar,kudligi,urdu kudligi,nimbalagere,kudligi,Vijayanagara,urdu kudligi,nimbalagere
2022-23,4878,Vijayanagara,B0065,C0384,vijayanagar,hosapete,deva samudra,no.10muddapura,hosapete,Vijayanagara,deva samudra,no.10muddapura
2022-23,4640,Vijayanagara,B0065,C1149,vijayanagar,hosapete,mariyammana halli,nagalapura,hosapete,Vijayanagara,mariyammana halli,nagalapura
2022-23,5755,Vijayanagara,B0055,C0869,vijayanagar,harapanahalli,kammathahalli,thouduru,harapanahalli,Vijayanagara,kammathahalli,thouduru
2023-24,5838,Belagavi,B0153,C0848,belagavi,kittur,kalbhavi,turkar shigihalli,kittur,Belagavi,kalbhavi,turkar shigihalli
2023-24,2904,Bagalkote,B0069,C2447,bagalkot,hunagund,muganur,huvinahalli,hunagund,Bagalkote,muganur,huvinahalli
2023-24,2348,Bagalkote,B0072,C2726,bagalkot,jamakhandi,urdu rabakavi,halingali,jamakhandi,Bagalkote,urdu rabakavi,halingali
2023-24,1217,Vijayapura,B0016,C1308,vijayapura,basavan bagewadi,nidagundi,benal rc,basavan bagewadi,Vijayapura,nidagundi,benal rc
2023-24,6020,Vijayapura,B0016,C2514,vijayapura,basavan bagewadi,nidagundi urdu,wandal,basavan bagewadi,Vijayapura,nidagundi urdu,wandal
2023-24,3714,Vijayapura,B0025,C2150,vijayapura,chadachan,horti urdu,koluragi,chadachan,Vijayapura,horti urdu,koluragi
2023-24,3908,Vijayapura,B0161,C2444,vijayapura,muddebihal,muddebihal urdu,kuntoji,muddebihal,Vijayapura,muddebihal urdu,kuntoji
2023-24,5556,Kalaburagi,B0002,C1780,kalaburgi,aland,aland south urdu,suntnoor,aland,Kalaburagi,aland south urdu,suntnoor
2023-24,1542,Kalaburagi,B0033,C1539,kalaburgi,chincholi,sulepeth urdu,chengata,chincholi,Kalaburagi,sulepeth urdu,chengata
2023-24,2019,Kalaburagi,B0033,C1539,kalaburgi,chincholi,sulepeth urdu,gadikeshwar,chincholi,Kalaburagi,sulepeth urdu,gadikeshwar
2023-24,3366,Kalaburagi,B0036,C1406,kalaburgi,chittapur,revaggi,kandgol,chittapur,Kalaburagi,revaggi,kandgol
2023-24,5605,Kalaburagi,B0048,C0854,kalaburgi,gulbarga north,kallahangarga,tajsulatanpur,gulbarga north,Kalaburagi,kallahangarga,tajsulatanpur
2023-24,3613,Kalaburagi,B0048,C1329,kalaburgi,gulbarga north,okali,kinnisadak,gulbarga north,Kalaburagi,okali,kinnisadak
2023-24,1996,Kalaburagi,B0049,C0461,kalaburgi,gulbarga south,faratabad urdu,firozabad,gulbarga south,Kalaburagi,faratabad urdu,firozabad
2023-24,5314,Kalaburagi,B0049,C0461,kalaburgi,gulbarga south,faratabad urdu,sharanasirasagi,gulbarga south,Kalaburagi,faratabad urdu,sharanasirasagi
2023-24,5218,Kalaburagi,B0049,C1068,kalaburgi,gulbarga south,m s k mill gulbarga,sannor,gulbarga south,Kalaburagi,m s k mill gulbarga,sannor
2023-24,2980,Kalaburagi,B0119,C0872,kalaburgi,sedam,kanagadda,itkal,sedam,Kalaburagi,kanagadda,itkal
2023-24,514,Kalaburagi,B0119,C1210,kalaburgi,sedam,mudhol urdu,adaki,sedam,Kalaburagi,mudhol urdu,adaki
2023-24,2980,Kalaburagi,B0119,C1210,kalaburgi,sedam,mudhol urdu,itkal,sedam,Kalaburagi,mudhol urdu,itkal
2023-24,4505,Kalaburagi,B0119,C1210,kalaburgi,sedam,mudhol urdu,mudhol,sedam,Kalaburagi,mudhol urdu,mudhol
2023-24,5413,Kalaburagi,B0119,C1630,kalaburgi,sedam,udagi,sindanamadu,sedam,Kalaburagi,udagi,sindanamadu
