Year,GP_ID,canonical_district,block_id,cluster_id,District,Block,Cluster,GP,block_name,block_district,cluster_name,gp_name
2023-24,6408,Belagavi,B0045,C2037,belagavi chikkodi,gokak,gokak(urdu),mamadapur,gokak,Belagavi,gokak(urdu),mamadapur
2023-24,5542,Belagavi,B0098,C2442,belagavi chikkodi,mudalgi,mudalgi (urdu),sunadholi,mudalgi,Belagavi,mudalgi (urdu),sunadholi
2023-24,6492,Tumakuru,B0091,C2380,tumakuru madhugiri,madhugiri,madhugiri(urdu),hosakere,madhugiri,Tumakuru,madhugiri(urdu),hosakere
2023-24,6365,Tumakuru,B0127,C2267,tumakuru madhugiri,sira,karekyathanahalli,baraguru,sira,Tumakuru,karekyathanahalli,baraguru
2023-24,4781,Ramanagara,B0146,C1932,ramanagara,channapatna,channapatna kannada town2,neelasandra,channapatna,Ramanagara,channapatna kannada town2,neelasandra
2023-24,5673,Ramanagara,B0146,C1932,ramanagara,channapatna,channapatna kannada town2,thagachagere,channapatna,Ramanagara,channapatna kannada town2,thagachagere
2023-24,3205,Ramanagara,B0077,C2106,ramanagara,kanakapura,harohalli,kaggalahalli,kanakapura,Ramanagara,harohalli,kaggalahalli
2023-24,6633,Ramanagara,B0077,C1671,ramanagara,kanakapura,urdu town cluster,harohalli,kanakapura,Ramanagara,urdu town cluster,harohalli
2023-24,3205,Ramanagara,B0077,C1671,ramanagara,kanakapura,urdu town cluster,kaggalahalli,kanakapura,Ramanagara,urdu town cluster,kaggalahalli
2023-24,6393,Ramanagara,B0077,C1671,ramanagara,kanakapura,urdu town cluster,kodihalli,kanakapura,Ramanagara,urdu town cluster,kodihalli
2023-24,5214,Ramanagara,B0157,C2683,ramanagara,magadi,thipsandra,sankighatta,magadi,Ramanagara,thipsandra,sankighatta
